aid,type,gender
Judge Reinhold,guest,male
Dana Carvey,cast,male
Phil Hartman,cast,male
Kevin Nealon,cast,male
G.E. Smith,crew,unknown
A. Whitney Brown,cast,male
Jon Lovitz,cast,male
Al Franken,cast,male
Jan Hooks,cast,female
"10,000 Maniacs",guest,unknown
Dennis Miller,cast,male
Tom Davis,cast,male
Christine Zander,crew,female
Victoria Jackson,cast,female
Nora Dunn,cast,female
Jason Aldean,guest,male
Gal Gadot,guest,male
Leslie Jones,cast,female
Heidi Gardner,cast,female
Kate McKinnon,cast,female
Luke Null,cast,male
Chris Redd,cast,male
Cecily Strong,cast,female
Melissa Villasenor,cast,female
Kenan Thompson,cast,male
Beck Bennett,cast,male
Pete Davidson,cast,male
Mikey Day,cast,male
Kyle Mooney,cast,male
Aidy Bryant,cast,female
Sam Smith,guest,male
Darrell Hammond,cast,male
Colin Jost,cast,male
Michael Che,cast,male
Steve Higgins,crew,male
Alex Moffat,cast,male
Alec Baldwin,guest,male
Ryan Gosling,guest,male
Emma Stone,guest,female
Lenny Pickett,crew,male
Jay-Z,guest,unknown
Damian Marley,guest,male
Tom Hanks,guest,male
Don Pardo,crew,male
Mark McKinney,cast,male
Randy Travis,guest,male
Andy Murphy,crew,male
Dan Aykroyd,cast,male
Justine Bateman,guest,female
Terrance Trent D'Arby,guest,male
Bob Odenkirk,crew,male
Jim Pitt,crew,male
John Zonars,crew,male
Carl Weathers,guest,male
Robbie Robertson,guest,male
BoDeans,guest,unknown
Maria McKee,guest,female
Robin Williams,guest,male
James Taylor,guest,male
Don Grolnick,crew,male
Leland Sklar,guest,male
Paul Simon,guest,male
Sen. Paul Simon,guest,unknown
Linda Ronstadt,guest,female
The Mariachi Vargas de Tecalitlan,guest,female
Marc Shaiman,crew,male
Angie Dickinson,guest,female
Buster Poindexter,guest,male
Soozie Tyrell,guest,unknown
The Banshees of Blue,guest,female
The Uptown Horns,guest,female
David Gilmour,guest,male
Cheryl Hardwick,crew,female
Leon Pendarvis,crew,male
Steve Turre,crew,male
T-Bone Wolk,crew,unknown
Danny DeVito,guest,male
Bryan Ferry,guest,male
Steve Jordan,crew,male
Rhea Perlman,guest,female
Candice Bergen,guest,female
John Henry Kurtz,unknown,male
Cher,guest,female
Paul Shaffer,cast,male
Sydney Biddle Barrows,guest,female
Robert Mitchum,guest,male
Simply Red,guest,unknown
Bentley Mitchum,guest,unknown
Jane Greer,guest,female
Ric Ocasek,unknown,unknown
Elvira,guest,female
Dabney Coleman,guest,unknown
The Cars,guest,female
Sean Penn,guest,male
LL Cool J,guest,unknown
Joe Dicso,crew,male
The Pull,guest,female
Steve Martin,guest,male
Sting,guest,male
Branford Marsalis,guest,unknown
Bruce Babbitt,guest,male
Scarlett Johansson,guest,female
Dwayne Johnson,guest,male
Vanessa Bayer,cast,female
Sasheer Zamata,cast,female
Bobby Moynihan,cast,male
Katy Perry,guest,female
Migos,guest,unknown
Melissa McCarthy,guest,female
HAIM,guest,unknown
Blake Lively,guest,female
Ryan Reynolds,guest,male
Donna Richards,crew,female
Ken Aymong,crew,male
Lorne Michaels,crew,male
Chris Pine,guest,male
LCD Soundsystem,guest,unknown
Akira Yoshimura,crew,male
Jimmy Fallon,cast,male
Harry Styles,guest,male
Nile Rodgers,guest,male
Rachel Dratch,cast,female
Louis C.K.,guest,male
The Chainsmokers,guest,female
Emily Warren,guest,female
Lorde,guest,female
Jack Antonoff,guest,male
Octavia Spencer,guest,female
Father John Misty,guest,unknown
Ed Sheeran,guest,male
Tracy Morgan,cast,male
Kristen Stewart,guest,female
Alessia Cara,guest,female
Aziz Ansari,guest,male
Big Sean,guest,unknown
Felicity Jones,guest,female
Tina Fey,cast,female
Bill Corsair,crew,male
Sturgill Simpson,guest,unknown
John Goodman,guest,male
Casey Affleck,guest,unknown
Fred Armisen,cast,male
Chance the Rapper,guest,male
Darryl McDaniels,guest,male
Danielle Flora,crew,female
Noname,guest,unknown
Bryan Cranston,guest,male
John Cena,guest,male
Maren Morris,guest,female
Shawn Mendes,guest,male
Jennifer Aniston,guest,female
Jason Sudeikis,cast,male
Kristen Wiig,cast,female
Will Forte,cast,male
The xx,guest,female
Dave Chappelle,guest,male
Chris Rock,cast,male
Donnell Rawlings,guest,male
A Tribe Called Quest,guest,unknown
Busta Rhymes,guest,unknown
Consequence,guest,unknown
Benedict Cumberbatch,guest,male
Anthony Rizzo,guest,male
David Ross,guest,male
Dexter Fowler,guest,male
Solange,guest,female
Bill Murray,cast,male
Lady Gaga,guest,unknown
Mark Ronson,guest,male
Emily Blunt,guest,female
Bruno Mars,guest,male
Lin-Manuel Miranda,guest,male
Twenty One Pilots,guest,unknown
Margot Robbie,guest,female
Larry David,crew,male
The Weeknd,guest,male
Taran Killam,cast,male
Jay Pharoah,cast,male
Jon Rudnitsky,cast,male
Andy Samberg,cast,male
Courtney Barnett,guest,female
Maya Rudolph,cast,female
Carrie Brownstein,guest,female
Drake,guest,male
Brie Larson,guest,female
Amy Davidson,guest,female
Heather Desaulniers,guest,female
Laura Campbell,guest,female
Alicia Keys,guest,female
Julia Louis-Dreyfus,cast,female
Tony Hale,guest,male
Nick Jonas,guest,male
Tove Lo,guest,female
Russell Crowe,guest,male
Al Sharpton,guest,male
Margo Price,guest,female
Mike O'Brien,cast,male
Peter Dinklage,guest,male
Gwen Stefani,guest,female
Ariana Grande,guest,female
Jonah Hill,guest,male
Future,guest,unknown
Kanye West,guest,male
El DeBarge,guest,female
Kelly Price,guest,female
Kirk Franklin,guest,male
The-Dream,guest,unknown
Young Thug,guest,female
Von Miller,guest,unknown
Al Roker,guest,male
Dylan Dreyer,guest,male
Natalie Morales,guest,female
Bernie Sanders,guest,male
The 1975,guest,female
Owen Wilson,guest,male
Ben Stiller,cast,male
Ronda Rousey,guest,female
Selena Gomez,guest,female
Wally Feresten,crew,male
Adam Driver,guest,male
Chris Stapleton,guest,male
Liev Schreiber,guest,unknown
Amy Poehler,cast,female
Bruce Springsteen & The E Street Band,guest,male
Amy Schumer,guest,female
Gayle King,guest,female
Paul McCartney,guest,male
Will Ferrell,cast,male
Chris Hemsworth,guest,male
Jeremih,guest,unknown
Mike Myers,cast,male
Leon Bridges,guest,male
Paula Pell,crew,female
Matthew McConaughey,guest,male
Daisy Ridley,guest,female
J.J. Abrams,guest,unknown
John Boyega,guest,male
Jon Hamm,guest,male
Michael Buble,guest,male
Adele,guest,female
Elizabeth Banks,guest,female
Don Roy King,unknown,male
Disclosure,guest,unknown
Donald Trump,guest,male
Ivanka Trump,guest,female
Martin Short,cast,male
Sia,guest,female
Gena Rositano,crew,female
Jack McBrayer,guest,male
Jane Krakowski,guest,female
Demi Lovato,guest,female
Nicki Minaj,guest,female
Miley Cyrus,guest,unknown
Hillary Clinton,guest,female
The Flaming Lips,guest,female
Rihanna,guest,female
Reese Witherspoon,guest,female
Betty Witherspoon,guest,female
Carolyn Bayer,guest,female
Elizabeth Thompson,guest,female
Georganne Bryant,guest,unknown
Ivory Steward,guest,male
Julie Moynihan,guest,female
Linda Mooney,guest,female
Penny Strong,guest,female
Ramona Farrow,guest,female
Sarah Bennett,guest,female
Florence + The Machine,guest,female
Wiz Khalifa,guest,unknown
Charlie Puth,guest,male
Taraji P. Henson,guest,female
Nikolaj Coster-Waldau,guest,male
Mumford & Sons,guest,unknown
Billy Crystal,cast,male
Jim Henson's Muppets,guest,male
Michael Keaton,guest,male
Carly Rae Jepsen,guest,female
Norman Reedus,guest,male
George Ezra,guest,male
Liam Hemsworth,guest,male
Luke Hemsworth,guest,male
Zac Brown Band,guest,unknown
Chris Cornell,guest,male
Dakota Johnson,guest,female
Don Johnson,guest,male
Melanie Griffith,guest,female
Alabama Shakes,guest,unknown
J.K. Simmons,guest,unknown
D'Angelo,guest,unknown
Blake Shelton,guest,male
Kent Sublette,crew,male
Kevin Hart,guest,male
Amy Adams,guest,female
Liam Payne,unknown,male
Louis Tomlinson,unknown,male
Niall Horan,unknown,male
Zayn Malik,unknown,male
One Direction,guest,female
Martin Freeman,guest,male
Charli XCX,guest,unknown
James Franco,guest,male
Seth Rogen,guest,male
Skylar Grey,guest,unknown
Cameron Diaz,guest,female
Mystikal,guest,unknown
Woody Harrelson,guest,male
Jennifer Lawrence,guest,female
Josh Hutcherson,guest,male
Uzo Aduba,guest,female
Kendrick Lamar,guest,male
Chantal Kreviazuk,guest,female
Jay Rock,guest,male
Prince,guest,male
3RDEYEGIRL,guest,unknown
Jim Carrey,guest,male
Jeff Daniels,guest,male
Iggy Azalea,guest,unknown
Rita Ora,guest,female
MO,guest,unknown
Bill Hader,cast,male
Harvey Fierstein,guest,male
Hozier,guest,male
Sarah Silverman,cast,female
Adam Levine,unknown,male
Maroon 5,guest,male
Chris Pratt,guest,male
Anna Faris,guest,female
Seth Meyers,cast,male
Lil Jon,guest,male
John Milhiser,cast,male
Nasim Pedrad,cast,female
Noel Wells,cast,female
Brooks Wheelan,cast,male
St. Vincent,guest,unknown
Paul Rudd,guest,male
Pharrell Williams,guest,unknown
Tatiana Maslany,guest,female
Akiva Schaffer,crew,male
Jorma Taccone,crew,male
2 Chainz,guest,unknown
Charlize Theron,guest,female
The Black Keys,guest,female
Barbara Walters,guest,female
Andrew Garfield,guest,male
Kiefer Sutherland,guest,male
Mary Lynn Rajskub,guest,female
Coldplay,guest,unknown
Chris Martin,unknown,male
Taylor Swift,guest,female
Zooey Deschanel,guest,unknown
Anna Kendrick,guest,female
Icona Pop,guest,unknown
Hans Zimmer,guest,male
Liam Neeson,guest,male
Lena Dunham,guest,female
The National,guest,female
Jim Parsons,guest,male
Beck,guest,male
James Anderson,crew,male
Imagine Dragons,guest,unknown
Leonardo DiCaprio,guest,male
Bastille,guest,unknown
Michael Cera,guest,male
Jhene Aiko,guest,unknown
Justin Timberlake,guest,male
Barry Gibb,guest,male
Madonna,guest,female
Michael Bloomberg,guest,male
Caleb Followill,unknown,male
Jared Followill,unknown,male
Matthew Followill,unknown,male
Nathan Followill,unknown,male
Robert DeNiro,guest,male
Sylvester Stallone,guest,male
Kings of Leon,guest,unknown
Wale,guest,unknown
David Koechner,cast,male
Steve Carell,guest,male
R. Kelly,guest,unknown
Kerry Washington,guest,female
Eminem,guest,unknown
Rick Rubin,guest,male
Edward Norton,guest,male
Janelle Monae,guest,female
Bruce Willis,guest,male
Aaron Paul,guest,male
Regine Chassagne,unknown,female
William Butler,unknown,male
Win Butler,unknown,unknown
Arcade Fire,guest,male
Ben Affleck,guest,male
Jennifer Garner,guest,female
Anderson Cooper,guest,male
Tim Robinson,cast,male
Aimee Mann,guest,female
J. Mascis,guest,unknown
Kim Gordon,guest,female
Michael Penn,guest,male
Steve Jones,guest,male
Jim Downey,cast,male
John Solomon,crew,male
Vampire Weekend,guest,unknown
Zach Galifianakis,guest,male
Bradley Cooper,guest,male
Ed Helms,guest,male
Of Monsters And Men,guest,unknown
Vince Vaughn,guest,male
Miguel,guest,male
Dennis Rodman,guest,male
Phoenix,guest,unknown
Chevy Chase,cast,male
Adam Epstein,unknown,male
Macklemore,guest,unknown
Ryan Lewis,guest,male
Wanz,guest,unknown
Ray Dalton,guest,male
Christoph Waltz,guest,male
Justin Bieber,guest,male
Whoopi Goldberg,guest,female
Jerry Seinfeld,guest,male
Danny McBride,guest,male
Mickey Madden,guest,male
The Lumineers,guest,female
The New York City Children's Chorus,guest,female
Samuel L. Jackson,guest,male
Joe Walsh,guest,male
Dave Grohl,guest,male
Krist Novoselic,guest,male
Pat Smear,guest,unknown
Jamie Foxx,guest,male
Ne-Yo,guest,unknown
Dermot Mulroney,guest,male
Charlie Day,guest,male
Jeremy Renner,guest,male
Chris Christie,guest,male
Anne Hathaway,guest,female
Fun.,guest,unknown
Usain Bolt,guest,unknown
Christina Applegate,guest,female
Passion Pit,guest,unknown
Chris Parnell,cast,male
Daniel Craig,guest,male
Muse,guest,unknown
Big Bird,unknown,unknown
Joseph Gordon-Levitt,guest,male
Seth MacFarlane,guest,male
Psy,guest,unknown
Frank Ocean,guest,male
John Mayer,guest,male
Abby Elliott,cast,female
Mick Jagger,guest,male
Nikolai Fraiture,guest,male
Foo Fighters,guest,unknown
Jeff Beck,guest,male
Chris Kattan,cast,male
Kay Ferrell,guest,male
Ana Gasteyer,cast,female
Usher,guest,unknown
Julian Casablancas,guest,male
Michael Bolton,guest,male
Natalie Portman,guest,female
Eli Manning,guest,male
Abby McGrew,guest,female
Chris Snee,guest,male
David Baas,guest,male
David Diehl,guest,male
Shaun O'Hara,guest,male
Sacha Baron Cohen,guest,male
Martin Scorsese,guest,male
Josh Brolin,guest,male
Steven Spielberg,guest,male
Gotye,guest,unknown
Kimbra,guest,female
Sofia Vergara,guest,female
Manolo Gonzalez,guest,male
John McEnroe,guest,male
The Shins,guest,female
Lindsay Lohan,guest,female
Jack White,guest,male
Ruby Amanfu,guest,female
Phil Hyms,crew,male
Sleigh Bells,guest,unknown
Bill O'Reilly,guest,male
Kate Upton,guest,female
Jean Dujardin,guest,male
Karmin,guest,unknown
Nicolas Cage,guest,male
Channing Tatum,guest,male
Bon Iver,guest,unknown
Daniel Radcliffe,guest,male
Paul Brittain,cast,male
Lana Del Rey,guest,female
Charles Barkley,guest,male
Kelly Clarkson,guest,female
Horatio Sanz,cast,male
Jude Law,guest,male
Matt Damon,guest,male
Val Kilmer,guest,female
Robyn,guest,female
Steve Buscemi,guest,male
Jason Segel,guest,male
Jon Huntsman,guest,male
Kermit The Frog,unknown,male
Florence Welch,unknown,female
Olivia Wilde,guest,female
Alan Wong,crew,male
Shelly Gossman,crew,female
Travie McCoy,guest,unknown
Hugh Jackman,guest,male
Foster The People,guest,male
Kenny G,guest,male
Lady Antebellum,guest,unknown
Radiohead,guest,unknown
Patricia Clarkson,guest,female
Susan Sarandon,guest,female
Chris Colfer,guest,male
Lindsey Buckingham,guest,male
Stephen Colbert,crew,male
Robert Smigel,cast,male
Robin Wright,guest,female
Ellie Goulding,guest,female
Helen Mirren,guest,female
Elton John,guest,male
Carmelo Anthony,guest,male
Leon Russell,guest,male
Jake Gyllenhaal,guest,male
Jessie J,guest,female
B.o.B,guest,unknown
The Strokes,guest,female
Russell Brand,guest,male
Chris Brown,guest,male
Linkin Park,guest,unknown
Jesse Eisenberg,guest,male
Dex Carvey,guest,unknown
Tom Carvey,guest,male
Mark Zuckerberg,guest,male
John Waters,guest,male
Gwyneth Paltrow,guest,female
Cee Lo Green,guest,unknown
Pee-Wee Herman,guest,male
Jeff Bridges,guest,male
Cookie Monster,unknown,unknown
Akon,guest,unknown
Jessica Alba,guest,female
Lil Wayne,guest,male
Mario Batali,guest,male
Rob Klein,crew,male
Diddy-Dirty Money,guest,unknown
Sean Combs,unknown,male
Swizz Beatz,guest,unknown
David Spade,unknown,male
John Mulaney,crew,male
Jane Lynch,guest,female
Ernest Borgnine,guest,male
Morgan Freeman,guest,male
Pusha T,guest,unknown
David Paterson,guest,male
Peter Sarsgaard,guest,male
Tom Petty,unknown,male
Jessi Klein,crew,female
John Lutz,crew,male
Jenny Slate,cast,female
Tom Petty & The Heartbreakers,guest,male
Betty White,guest,female
Molly Shannon,cast,female
Bridget Kelly,guest,female
Mr Hudson,guest,unknown
Gabourey Sidibe,guest,unknown
MGMT,guest,unknown
Ryan Phillippe,guest,male
Ke$ha,guest,unknown
Mark Sanchez,guest,male
Pearl Jam,guest,female
Anthony Anderson,guest,male
Brian Williams,guest,male
Dr. Mehmet Oz,guest,unknown
Jeremy Sisto,guest,male
Frank Rich,guest,male
Jennifer Lopez,guest,female
Ashton Kutcher,guest,male
Them Crooked Vultures,guest,unknown
Bryan Tucker,crew,male
Sharon Jones,guest,female
Sigourney Weaver,guest,female
James Cameron,guest,male
The Ting Tings,guest,female
Hannibal Buress,crew,male
Mike Tyson,guest,male
Taylor Lautner,guest,male
Bon Jovi,guest,unknown
Young Jeezy,guest,female
Dave Matthews,unknown,male
Al Gore,guest,male
Mindy Kaling,guest,female
Dave Matthews Band,guest,male
January Jones,guest,female
Black Eyed Peas,guest,unknown
Gerard Butler,guest,male
Shakira,guest,female
Drew Barrymore,guest,female
Justin Long,guest,male
Regina Spektor,guest,female
Elijah Wood,guest,male
Megan Fox,guest,female
U2,guest,unknown
Emily Spivey,crew,female
Brian Austin Green,guest,male
Michaela Watkins,cast,female
Casey Wilson,cast,female
Norm MacDonald,cast,male
Green Day,guest,unknown
Artie Lange,guest,male
Elisabeth Moss,guest,female
Ciara,guest,female
Zachary Quinto,guest,male
Leonard Nimoy,guest,male
Zac Efron,guest,unknown
Yeah Yeah Yeahs,guest,unknown
Simon Rich,crew,male
Richard Dean Anderson,guest,male
Ray LaMontagne,guest,male
Jessica Biel,guest,female
Jonas Brothers,guest,male
James Lipton,guest,male
T-Pain,guest,unknown
TV on the Radio,guest,unknown
Liz Cackowski,crew,female
Jason Mraz,guest,male
Britney Haas,guest,female
Craig Eastman,guest,male
Michael Daves,guest,male
Skip Ward,guest,male
Colbie Caillat,guest,unknown
Rosario Dawson,guest,female
Fleet Foxes,guest,unknown
Neil Patrick Harris,guest,male
Liza Minnelli,guest,female
Hugh Laurie,guest,male
John Malkovich,guest,male
T.I.,guest,unknown
Jamie-Lynn Sigler,guest,unknown
Molly Sims,guest,female
Tim McGraw,guest,male
Ludacris,guest,unknown
Beyonce,guest,unknown
Cindy McCain,guest,female
Sen. John McCain,guest,unknown
David Cook,guest,male
John Slattery,guest,male
Mark Wahlberg,guest,male
Sarah Palin,guest,female
Oliver Stone,guest,male
Queen Latifah,guest,female
The Killers,guest,female
Duffy,guest,male
Kumail Nanjiani,guest,unknown
Michael Phelps,guest,male
Debbie Phelps,guest,female
William Shatner,guest,male
Jared Fogel,guest,male
Marika Sawyer,crew,female
Nancy Walls,cast,female
Ricky Gervais,guest,male
Shia LaBeouf,guest,male
My Morning Jacket,guest,female
Doug Abeles,crew,male
Alex Baze,crew,male
Demi Moore,guest,female
Gnarls Barkley,guest,unknown
Christopher Walken,guest,male
Christopher Dodd,guest,male
Panic At The Disco,guest,unknown
Mariah Carey,guest,female
Vincent D'Onofrio,guest,male
Ellen Page,guest,female
Wilco,guest,male
Rudy Giuliani,guest,male
Amber Lee Ettinger,guest,female
Carrie Underwood,guest,female
Mike Huckabee,guest,male
Barack Obama,guest,male
Bono,guest,male
Matt Lauer,guest,male
Feist,guest,unknown
Jon Bon Jovi,guest,male
Richie Sambora,unknown,male
Marci Klein,crew,female
Taylor Hawkins,unknown,male
Jack Nicholson,guest,male
Spoon,guest,unknown
LeBron James,guest,unknown
Zach Braff,guest,male
Sen. Charles Schumer,guest,unknown
Bjork,guest,unknown
Avril Lavigne,guest,female
Peyton Manning,guest,unknown
Archie Manning,guest,male
Olivia Manning,guest,female
Snow Patrol,guest,unknown
Rainn Wilson,guest,male
Rashida Jones,guest,female
Michael Shoemaker,crew,male
Forest Whitaker,guest,male
Keith Urban,guest,male
Katreese Barnes,crew,unknown
Lily Allen,guest,female
Jeremy Piven,guest,male
AFI,guest,unknown
Common,guest,unknown
Annette Bening,guest,female
Matthew Fox,guest,male
Tenacious D,guest,unknown
Mary J. Blige,guest,female
Takeru Kobayashi,guest,male
Christina Aguilera,guest,female
Tony Bennett,guest,male
Ken Davitian,guest,male
John C. Reilly,guest,male
My Chemical Romance,guest,female
Jaime Pressly,guest,male
Corinne Bailey Rae,guest,female
Dane Cook,guest,male
Kevin Spacey,guest,male
Finesse Mitchell,cast,male
Nelly Furtado,guest,female
Timbaland,guest,unknown
Stacey Foster,crew,female
Jason Alexander,guest,male
