m_avg,f_avg,u18_avg,m_u18_avg,f_u18_avg,18-29_avg,m_18-29_avg,f_18-29_avg,30-44_avg,m_30-44_avg,f_30-44_avg,45+_avg,m_45+_avg,f_45+_avg,top_1000_vot,us_users_avg,non_users_avg,imdb_users_avg,epno,crv-1,crv-2,crv-3,crv-4,crv-5,crv-6,crv-7,crv-8,crv-9,crv-10,sid
7.4,6.8,0.0,0.0,0.0,0.0,7.8,5.3,8.5,8.0,10.0,6.1,5.8,7.0,7.5,6.6,7.7,7.0,2,10,4,5,11,9,3,0,1,2,2,43
6.0,6.5,0.0,0.0,0.0,6.0,6.2,4.6,6.0,5.5,7.4,6.5,6.5,6.3,6.6,6.0,6.6,5.9,1,21,9,20,27,15,11,5,4,1,15,43
7.7,6.8,0.0,0.0,0.0,7.7,8.0,4.9,7.6,7.4,8.1,7.6,7.8,6.0,7.3,7.3,7.9,7.3,0,17,9,15,25,23,8,5,1,2,4,43
6.9,6.3,0.0,0.0,0.0,7.5,7.8,5.4,6.3,6.1,6.9,6.9,7.0,6.2,6.3,6.6,7.0,6.7,20,35,17,26,39,17,2,1,1,2,13,42
7.0,7.4,0.0,0.0,0.0,7.3,7.7,5.8,7.3,7.1,7.9,6.6,6.2,8.8,6.9,6.6,7.7,7.1,19,24,4,30,36,24,9,3,3,5,19,42
7.8,7.9,0.0,0.0,0.0,8.3,8.3,7.9,7.5,7.4,8.0,7.6,7.5,7.7,7.5,7.4,8.1,7.9,18,16,5,17,28,25,17,10,3,8,16,42
6.3,6.8,0.0,0.0,0.0,6.8,7.0,6.1,6.2,5.9,7.4,6.3,6.1,6.0,6.6,6.2,6.8,6.4,17,33,6,30,34,27,17,6,4,4,21,42
5.6,6.4,0.0,0.0,0.0,6.1,5.9,6.6,5.6,5.3,6.4,6.1,5.9,6.2,5.3,5.6,6.1,5.6,16,40,26,49,25,20,6,5,3,4,17,42
5.9,6.7,0.0,0.0,0.0,6.1,6.2,5.4,5.9,5.6,7.5,6.5,6.2,8.3,5.9,5.5,6.7,6.0,15,26,17,32,31,31,7,3,2,3,22,42
6.3,7.0,0.0,0.0,0.0,6.6,6.3,7.6,6.4,6.3,6.9,6.6,6.4,7.7,6.8,6.3,6.5,6.5,14,16,5,6,29,32,20,12,9,5,25,42
6.7,7.5,0.0,0.0,0.0,6.9,6.9,6.4,6.9,6.6,7.8,6.6,6.3,8.3,6.7,6.4,7.1,6.8,13,36,19,48,45,20,10,2,4,4,25,42
6.4,7.4,0.0,0.0,0.0,6.8,6.5,8.3,6.2,6.1,7.1,6.7,6.5,7.2,6.3,6.5,6.5,6.6,12,120,60,58,44,16,10,4,3,5,26,42
5.5,6.8,0.0,0.0,0.0,6.3,6.2,6.7,5.4,5.1,7.0,6.1,5.6,7.8,6.1,5.4,6.0,5.8,11,47,31,66,46,20,8,6,5,4,30,42
7.2,7.9,0.0,0.0,0.0,7.8,7.7,8.1,6.9,6.7,8.0,7.3,7.2,7.8,6.9,7.0,7.3,7.4,10,19,4,14,23,45,36,24,11,9,38,42
8.0,8.2,0.0,0.0,0.0,8.1,8.1,8.6,7.9,8.0,7.7,7.8,7.6,9.0,7.6,8.1,7.8,8.1,9,25,15,36,44,32,18,5,3,3,23,42
6.0,6.4,0.0,0.0,0.0,6.0,6.0,5.7,6.1,6.0,6.5,6.8,6.7,7.3,6.2,6.4,6.1,6.0,8,22,5,19,46,40,19,7,4,4,23,42
7.3,7.3,0.0,0.0,0.0,7.6,7.6,6.9,6.9,6.8,7.3,7.3,7.3,7.3,7.0,7.1,7.3,7.3,7,20,17,51,54,25,12,3,3,3,19,42
5.6,6.4,0.0,0.0,0.0,5.6,5.4,5.3,5.7,5.5,6.7,6.2,5.9,7.5,6.0,5.7,5.5,5.8,6,27,17,29,52,32,16,3,7,6,31,42
6.7,7.4,0.0,0.0,0.0,7.1,7.1,7.2,6.5,6.3,7.2,6.5,6.4,7.7,6.7,6.6,6.7,6.8,5,151,85,60,39,22,6,4,6,10,40,42
6.9,7.9,0.0,0.0,0.0,7.7,7.5,8.6,6.7,6.7,6.5,6.6,6.3,8.4,6.8,7.0,6.9,7.1,4,19,8,29,59,48,18,12,7,2,25,42
6.1,6.6,0.0,0.0,0.0,6.3,6.2,5.6,6.2,6.0,6.6,6.2,5.7,8.4,6.2,6.2,6.0,6.2,3,87,62,80,51,21,7,2,4,2,23,42
7.2,7.9,0.0,0.0,0.0,7.8,7.6,8.2,7.4,7.3,7.8,6.7,6.6,7.2,7.2,7.3,7.4,7.4,2,25,9,30,52,45,25,10,5,3,31,42
6.2,6.3,0.0,0.0,0.0,6.1,6.3,5.3,6.0,6.0,5.5,6.7,6.3,8.1,6.4,6.2,6.5,6.2,1,69,43,64,53,28,9,4,1,3,29,42
6.3,6.5,0.0,0.0,0.0,6.5,6.7,5.4,6.1,6.1,6.5,6.3,6.1,7.3,6.4,6.2,6.1,6.3,0,70,31,78,60,25,13,6,3,3,27,42
7.4,8.0,0.0,0.0,0.0,7.8,7.7,7.5,7.2,7.1,7.9,7.6,7.4,8.7,7.4,7.3,7.6,7.6,20,46,20,34,27,12,9,2,1,1,10,41
5.8,7.0,0.0,0.0,0.0,6.1,6.0,6.6,5.8,5.6,7.3,6.2,6.2,6.2,6.1,5.5,6.5,6.0,19,20,5,18,28,28,14,8,2,5,16,41
6.0,6.7,0.0,0.0,0.0,5.9,5.9,5.5,6.0,5.9,6.6,7.0,6.6,8.3,6.1,6.1,6.0,6.1,18,14,5,12,42,20,8,7,4,3,9,41
6.5,6.7,0.0,0.0,0.0,6.9,6.7,6.9,6.2,5.9,6.9,6.4,6.6,5.5,6.5,6.0,6.7,6.5,17,19,2,17,33,27,20,6,3,4,13,41
7.3,7.3,0.0,0.0,0.0,7.5,7.5,7.0,7.2,7.1,7.7,7.4,7.3,7.3,7.0,7.3,7.2,7.3,16,13,3,8,22,19,22,21,8,6,14,41
7.1,6.6,0.0,0.0,0.0,7.3,7.4,5.5,6.8,6.7,7.2,7.2,7.1,8.5,7.4,6.8,7.1,7.1,15,130,11,31,41,26,11,10,4,2,6,41
7.4,8.1,0.0,0.0,0.0,7.9,7.7,8.6,7.2,6.9,7.8,7.2,7.2,7.0,7.0,7.3,7.5,7.6,14,65,45,52,37,13,5,4,2,3,11,41
7.5,7.8,0.0,0.0,0.0,8.0,7.9,8.1,7.1,6.9,7.8,7.5,7.5,6.8,7.1,7.2,7.7,7.6,13,14,2,12,24,31,28,13,10,4,15,41
7.5,8.5,0.0,0.0,0.0,8.2,8.0,8.7,7.3,7.1,8.1,7.3,7.2,7.9,7.3,7.5,7.5,7.7,12,23,7,18,47,32,15,3,3,6,18,41
7.3,6.8,0.0,0.0,0.0,7.6,7.7,6.4,6.9,6.8,7.1,7.3,7.3,6.5,7.0,7.1,7.2,7.3,11,74,43,58,29,10,7,1,3,0,10,41
6.4,7.0,0.0,0.0,0.0,6.5,6.3,6.9,6.5,6.3,7.1,6.6,6.5,7.3,6.6,6.4,6.5,6.5,10,23,4,15,31,35,21,12,6,6,21,41
6.2,7.0,0.0,0.0,0.0,6.5,6.5,6.3,6.3,5.9,7.4,6.2,6.2,5.7,6.1,6.3,6.3,6.3,9,50,18,57,42,22,6,5,4,3,9,41
7.4,6.9,0.0,0.0,0.0,7.8,8.3,6.1,6.9,6.8,7.1,7.0,6.8,8.0,7.0,6.9,7.7,7.3,8,75,45,58,26,14,4,4,3,6,16,41
7.6,7.5,0.0,0.0,0.0,8.0,8.1,7.9,7.4,7.4,7.3,7.3,7.3,7.5,7.4,7.4,7.8,7.7,7,17,5,17,35,34,17,6,5,4,5,41
5.5,4.3,0.0,0.0,0.0,5.3,5.4,3.8,5.7,5.9,4.7,4.9,4.7,6.0,5.8,5.0,5.6,5.2,6,61,36,60,38,10,12,6,0,1,7,41
7.2,7.1,0.0,0.0,0.0,7.5,7.9,5.8,7.0,6.9,7.5,6.8,6.5,8.6,7.3,7.2,7.1,7.2,5,36,18,38,44,25,12,5,3,4,8,41
6.6,6.1,0.0,0.0,0.0,7.1,7.4,6.4,5.9,6.1,5.3,6.3,6.0,7.7,6.3,6.7,6.4,6.6,4,22,14,29,50,21,9,3,1,2,12,41
6.9,7.5,0.0,0.0,0.0,7.7,7.5,7.6,6.6,6.3,7.4,7.1,6.8,8.7,6.8,6.9,7.1,7.2,3,79,5,12,25,33,29,18,18,31,239,41
4.0,4.7,0.0,0.0,0.0,4.5,4.7,4.0,4.4,4.1,5.9,3.5,3.5,4.3,4.8,4.0,4.5,4.1,2,43,19,54,36,20,12,2,2,6,7,41
6.4,6.7,0.0,0.0,0.0,7.3,7.3,7.2,5.8,5.7,6.0,5.8,5.9,5.8,6.2,6.2,6.9,6.6,1,33,18,46,48,27,14,7,5,4,24,41
6.8,7.0,0.0,0.0,0.0,7.2,7.1,7.2,6.4,6.4,6.3,6.7,6.6,8.0,6.5,6.7,6.8,6.9,0,21,9,33,43,43,23,6,10,6,26,41
7.8,7.7,0.0,0.0,0.0,8.0,8.0,7.3,7.4,7.5,7.5,8.0,8.0,8.5,7.5,7.8,7.8,7.9,20,27,14,28,38,14,11,3,2,2,7,40
6.5,7.3,0.0,0.0,0.0,7.7,7.4,8.3,6.4,6.3,6.9,5.3,5.4,5.2,6.4,5.9,7.7,6.7,19,11,1,13,24,37,12,6,3,2,6,40
6.2,7.7,0.0,0.0,0.0,7.2,6.8,7.5,6.1,5.8,7.4,6.2,5.9,7.7,6.0,6.4,6.9,6.7,18,14,5,12,35,36,14,7,1,1,7,40
7.5,7.7,0.0,0.0,0.0,8.1,8.0,8.2,7.2,7.2,7.3,7.1,7.2,6.0,7.1,7.4,7.7,7.6,17,19,3,10,24,28,22,13,4,5,15,40
6.5,7.4,0.0,0.0,0.0,6.9,6.6,7.0,6.4,6.3,7.2,7.2,6.9,9.0,6.9,6.5,7.0,6.8,16,33,11,37,50,20,7,2,2,2,6,40
6.2,6.3,0.0,0.0,0.0,6.7,6.8,6.5,5.9,6.0,5.9,5.9,5.7,7.3,6.2,5.9,6.5,6.3,15,43,31,61,30,13,3,2,0,2,4,40
6.8,7.7,0.0,0.0,0.0,7.6,7.3,7.9,6.6,6.3,7.8,6.8,6.6,7.5,6.5,6.8,7.2,7.1,14,27,13,39,46,17,12,2,1,1,5,40
7.8,7.8,0.0,0.0,0.0,8.2,8.2,8.2,7.4,7.4,7.4,7.5,7.4,7.6,7.3,7.8,7.7,7.8,13,14,6,15,30,37,19,7,5,5,15,40
8.0,8.1,0.0,0.0,0.0,8.3,8.2,8.4,7.7,7.8,7.6,8.1,8.1,7.7,7.6,7.8,8.2,8.0,12,15,15,39,50,20,6,1,2,1,6,40
6.3,7.0,0.0,0.0,0.0,7.3,6.9,8.1,6.2,6.1,6.6,5.7,5.8,5.8,6.1,6.2,6.5,6.5,11,18,3,7,21,37,26,12,8,6,15,40
6.8,6.8,0.0,0.0,0.0,7.5,7.5,6.8,6.6,6.4,6.9,6.4,6.6,5.3,6.7,6.4,7.0,6.9,10,20,12,22,44,30,7,8,3,3,10,40
7.4,7.9,0.0,0.0,0.0,8.1,7.8,8.7,7.2,7.1,7.4,7.4,7.3,6.5,6.9,7.2,7.7,7.5,9,34,5,22,56,27,10,3,3,2,7,40
7.0,7.3,0.0,0.0,0.0,7.6,7.2,7.9,6.9,6.9,7.2,6.8,6.9,5.7,6.7,6.9,7.1,7.1,8,36,27,53,47,19,6,2,1,1,6,40
8.0,8.6,0.0,0.0,0.0,8.6,8.4,9.0,8.0,7.9,8.5,7.6,7.7,6.0,7.8,8.0,8.3,8.2,7,19,7,19,41,42,18,9,3,3,7,40
7.5,8.0,0.0,0.0,0.0,8.0,7.8,8.2,7.4,7.2,7.8,7.6,7.7,6.2,7.1,7.5,7.7,7.6,6,18,3,15,30,33,26,7,2,2,13,40
6.0,7.1,0.0,0.0,0.0,6.9,6.7,7.1,6.1,5.8,7.0,5.8,5.7,7.0,6.1,6.1,6.3,6.2,5,30,19,46,49,21,7,2,2,3,7,40
6.4,7.4,0.0,0.0,0.0,7.2,6.9,7.6,6.6,6.5,7.2,5.8,5.6,6.9,6.3,6.3,6.7,6.7,4,19,3,33,38,42,21,13,8,7,21,40
5.5,6.8,0.0,0.0,0.0,6.3,5.9,6.4,5.9,5.6,7.1,5.3,4.9,8.0,5.9,5.7,5.6,5.9,3,63,29,74,65,20,12,3,1,2,11,40
8.4,8.8,0.0,0.0,0.0,8.9,8.8,9.1,8.3,8.0,8.7,8.1,8.2,6.3,7.7,8.1,8.7,8.5,2,82,50,81,37,15,7,3,2,2,5,40
7.3,7.5,0.0,0.0,0.0,7.9,8.0,7.6,7.0,6.9,7.4,6.9,6.9,6.8,7.0,6.9,7.7,7.4,1,19,12,32,65,43,14,4,4,5,8,40
6.7,7.3,0.0,0.0,0.0,7.5,7.1,7.9,6.6,6.4,7.1,6.4,6.5,6.4,6.8,6.6,7.2,7.0,0,31,11,39,82,49,30,9,6,6,10,40
7.7,7.9,0.0,0.0,0.0,8.4,8.5,8.4,7.4,7.3,7.6,7.1,7.1,4.5,7.3,7.4,8.1,7.8,20,44,26,47,32,13,1,1,1,1,6,39
7.4,7.7,0.0,0.0,0.0,7.8,7.6,8.2,7.0,7.0,7.1,7.6,7.7,7.0,6.8,7.3,7.6,7.5,19,11,4,9,29,34,12,7,4,3,6,39
7.2,7.5,0.0,0.0,0.0,7.9,8.0,7.8,6.8,6.6,7.1,7.0,7.1,5.7,6.9,7.1,7.4,7.3,18,35,19,47,29,12,8,6,2,1,4,39
5.9,6.4,0.0,0.0,0.0,6.6,6.7,6.0,5.9,5.7,6.5,5.7,5.7,7.5,6.0,5.5,6.5,6.0,17,14,2,19,24,37,9,5,8,2,9,39
7.3,7.5,0.0,0.0,0.0,7.6,7.5,7.6,7.2,7.0,7.6,7.3,7.4,6.5,6.9,7.0,7.5,7.4,16,36,19,43,39,21,6,0,2,1,6,39
7.5,8.3,0.0,0.0,0.0,8.3,8.1,8.6,7.2,7.0,8.0,7.5,7.6,6.6,7.2,7.4,7.9,7.6,15,25,13,32,47,20,7,3,2,1,6,39
7.3,7.4,0.0,0.0,0.0,7.8,7.8,7.2,7.2,7.0,7.7,7.2,7.3,5.7,6.8,6.8,7.8,7.3,14,12,2,21,32,24,10,8,4,3,14,39
8.3,9.1,0.0,0.0,0.0,9.1,9.0,9.4,7.9,7.5,8.8,7.7,7.8,7.3,7.1,7.8,8.9,8.4,13,19,1,11,26,42,28,9,6,5,10,39
6.2,6.6,0.0,0.0,0.0,6.7,6.9,6.2,6.0,5.8,6.8,6.1,5.9,7.2,6.4,5.8,6.5,6.0,12,29,5,18,43,26,17,6,5,4,11,39
6.8,7.6,0.0,0.0,0.0,7.4,7.3,7.5,7.0,6.6,8.2,6.4,6.6,5.3,6.9,6.7,7.2,7.0,11,20,12,37,40,12,6,3,3,2,6,39
6.5,7.1,0.0,0.0,0.0,7.5,7.4,8.3,6.1,6.0,6.5,6.3,6.5,5.3,6.6,6.3,7.1,6.5,10,32,14,32,46,17,9,5,2,3,10,39
6.2,7.2,0.0,0.0,0.0,7.0,6.8,7.7,5.8,5.6,6.5,6.5,6.5,7.5,6.3,6.0,7.0,6.3,9,204,96,48,26,10,4,3,4,5,13,39
7.2,7.4,0.0,0.0,0.0,7.9,7.8,8.6,6.9,6.8,6.8,6.8,7.1,5.0,7.1,6.8,7.8,7.2,8,14,11,26,37,23,7,4,2,1,4,39
6.0,7.1,0.0,0.0,0.0,6.9,6.7,7.4,6.3,6.2,6.3,5.8,5.3,7.7,6.2,6.0,6.4,6.2,7,26,13,36,42,16,11,4,2,1,6,39
6.3,7.1,0.0,0.0,0.0,6.6,6.6,6.9,6.3,6.1,6.7,6.6,6.3,7.7,6.6,6.2,6.7,6.2,6,55,21,35,31,23,11,4,3,2,6,39
7.4,7.4,0.0,0.0,0.0,7.8,7.9,7.7,6.8,6.8,7.0,7.2,7.2,6.0,7.0,7.1,7.5,7.4,5,54,22,40,39,19,8,4,2,2,8,39
7.4,7.3,0.0,0.0,0.0,7.8,7.8,7.5,7.3,7.0,8.2,7.1,7.5,5.3,7.3,7.1,7.7,7.4,4,40,27,57,27,10,14,3,1,2,6,39
6.6,6.3,0.0,0.0,0.0,7.1,7.1,6.8,6.3,6.1,6.7,6.0,6.3,4.7,6.4,6.2,6.8,6.5,3,21,20,33,41,24,15,4,2,1,4,39
7.4,7.8,0.0,0.0,0.0,7.9,7.8,7.9,7.2,7.0,7.8,7.3,7.2,6.5,7.0,6.8,7.7,7.4,2,12,10,24,47,36,17,12,6,3,7,39
6.1,6.9,0.0,0.0,0.0,6.8,6.5,7.4,6.0,5.8,6.3,6.2,5.9,7.0,6.2,6.3,6.3,6.2,1,20,21,28,51,43,18,9,4,5,24,39
6.5,6.9,0.0,0.0,0.0,7.3,7.2,7.4,6.2,6.0,6.6,5.8,5.9,5.7,6.6,6.3,6.9,6.5,0,31,23,59,58,19,7,4,2,1,8,39
6.0,6.2,0.0,0.0,0.0,6.6,6.7,6.6,6.0,5.8,6.2,5.7,5.7,6.8,6.0,5.5,6.5,6.0,20,32,14,30,26,10,5,4,3,2,7,38
7.1,7.3,0.0,0.0,0.0,7.6,7.4,8.1,7.0,7.2,6.3,5.9,6.0,5.5,6.6,6.9,6.9,7.1,19,32,7,25,36,11,6,3,1,1,8,38
6.3,7.2,0.0,0.0,0.0,7.3,7.0,8.1,5.8,5.7,5.9,6.6,6.5,6.7,6.3,6.2,6.8,6.5,18,30,15,29,30,12,8,3,1,0,4,38
6.7,7.4,0.0,0.0,0.0,7.5,7.3,7.7,6.4,6.1,7.3,6.4,6.6,5.7,6.7,6.2,7.4,6.9,17,7,1,6,11,15,27,13,3,3,12,38
7.1,7.7,0.0,0.0,0.0,7.9,7.7,8.4,6.5,6.3,7.1,7.1,7.2,6.8,6.6,6.9,7.5,7.3,16,29,13,17,33,22,6,2,2,2,7,38
6.5,6.5,0.0,0.0,0.0,7.0,7.0,6.7,6.3,6.1,6.7,5.4,5.5,5.5,6.5,6.1,6.7,6.4,15,106,62,52,23,10,3,2,3,1,11,38
6.8,7.5,0.0,0.0,0.0,7.5,7.4,7.9,6.6,6.3,7.4,6.4,6.5,5.7,7.0,6.4,7.1,6.9,14,21,7,20,30,29,13,4,2,3,11,38
7.3,8.1,0.0,0.0,0.0,8.0,7.7,8.4,7.4,7.2,8.2,6.3,6.4,6.0,7.4,6.9,7.8,7.5,13,40,19,28,40,25,10,5,2,2,7,38
6.7,7.4,0.0,0.0,0.0,7.7,7.8,7.0,6.3,5.8,7.7,6.8,7.1,7.3,7.3,6.4,7.6,6.6,12,32,3,10,16,22,22,16,16,8,66,38
5.2,6.9,0.0,0.0,0.0,7.1,6.9,6.9,4.8,4.5,6.6,5.3,4.9,10.0,6.3,5.1,6.3,5.7,11,26,9,21,32,31,14,10,1,3,10,38
6.1,6.8,0.0,0.0,0.0,7.0,6.9,6.9,5.8,5.7,6.2,6.3,5.9,10.0,6.3,5.9,6.4,6.1,10,39,10,32,45,33,16,8,4,2,10,38
7.1,8.0,0.0,0.0,0.0,8.1,8.0,8.3,6.9,6.6,8.0,7.4,7.7,5.7,7.5,7.1,7.5,7.4,9,38,19,43,27,18,8,2,1,1,3,38
6.3,7.5,0.0,0.0,0.0,7.4,6.9,8.5,6.1,5.9,6.8,6.1,6.3,5.8,6.5,6.2,7.0,6.6,8,22,8,19,29,23,10,5,8,4,6,38
6.0,7.0,0.0,0.0,0.0,6.6,6.3,7.3,5.9,5.7,6.5,6.2,5.8,8.0,6.2,5.8,6.4,6.2,7,31,5,24,36,27,15,12,3,2,7,38
5.8,7.1,0.0,0.0,0.0,6.7,6.4,7.6,5.7,5.6,6.3,6.0,5.5,8.0,6.3,5.5,6.6,6.0,6,34,16,48,37,20,9,2,1,1,8,38
7.3,7.5,0.0,0.0,0.0,7.8,7.9,7.7,6.9,6.5,7.4,7.6,7.9,6.8,7.5,6.8,7.6,7.4,5,42,18,42,47,21,10,2,2,3,8,38
6.3,7.3,0.0,0.0,0.0,7.2,6.8,8.0,6.2,6.1,6.3,6.1,5.7,8.3,6.6,5.9,6.9,6.5,4,40,19,30,45,21,13,1,1,1,7,38
5.8,6.9,0.0,0.0,0.0,6.8,6.3,7.5,5.6,5.5,6.0,6.1,5.8,7.2,6.2,6.0,5.8,6.2,3,18,7,16,40,34,13,5,1,1,5,38
6.8,7.1,0.0,0.0,0.0,7.3,7.1,7.7,6.7,6.6,7.1,5.8,5.9,5.4,7.0,6.3,7.1,6.9,2,17,4,12,27,48,23,8,4,1,6,38
7.1,8.4,0.0,0.0,0.0,8.1,7.6,8.9,7.3,6.9,8.0,6.9,7.0,6.6,7.1,7.1,7.7,7.5,1,36,14,25,49,35,10,9,3,3,7,38
4.7,4.4,0.0,0.0,0.0,4.7,5.3,3.9,4.4,4.4,4.5,4.8,4.3,7.0,5.4,4.0,5.1,4.4,0,61,43,64,47,23,12,2,1,1,6,38
6.8,7.9,0.0,0.0,0.0,7.7,7.3,8.5,6.6,6.5,6.7,7.3,6.9,7.6,6.6,6.7,7.3,7.1,21,36,24,41,23,16,5,2,0,0,3,37
6.0,6.4,0.0,0.0,0.0,6.8,6.4,8.0,5.8,5.8,5.6,6.2,6.1,6.2,6.6,6.0,6.2,6.0,20,21,12,33,24,10,4,2,1,1,3,37
7.4,7.5,0.0,0.0,0.0,7.9,7.9,7.8,7.0,7.0,7.2,7.1,7.1,6.6,7.1,7.0,7.6,7.4,19,16,6,8,33,23,11,7,2,2,7,37
6.2,6.8,0.0,0.0,0.0,6.9,6.6,7.3,6.3,6.3,6.1,5.9,5.6,6.6,6.6,6.3,6.6,6.3,18,10,7,15,39,22,10,2,2,1,4,37
