m_avg,f_avg,u18_avg,m_u18_avg,f_u18_avg,18-29_avg,m_18-29_avg,f_18-29_avg,30-44_avg,m_30-44_avg,f_30-44_avg,45+_avg,m_45+_avg,f_45+_avg,top_1000_vot,us_users_avg,non_users_avg,imdb_users_avg,epno,crv-1,crv-2,crv-3,crv-4,crv-5,crv-6,crv-7,crv-8,crv-9,crv-10,sid
7.8,7.5,0.0,0.0,0.0,8.4,8.3,8.4,7.6,7.5,7.4,7.1,7.4,5.5,7.5,7.6,7.8,7.9,17,46,19,26,32,15,7,2,1,2,7,37
8.0,8.9,0.0,0.0,0.0,8.8,8.7,9.1,8.4,8.1,8.9,6.8,6.9,6.5,7.4,7.8,8.4,8.1,16,22,10,14,41,26,8,2,2,1,4,37
6.6,8.2,0.0,0.0,0.0,7.9,7.4,9.2,6.5,6.1,7.6,6.6,6.5,6.6,6.9,6.4,7.2,6.9,15,19,5,12,31,24,24,15,7,2,17,37
6.0,7.2,0.0,0.0,0.0,7.0,7.1,7.5,6.1,5.8,6.9,5.1,4.7,7.0,6.3,6.1,6.4,6.2,14,48,26,51,22,13,4,2,1,0,5,37
6.1,6.4,0.0,0.0,0.0,7.2,7.4,7.2,5.9,5.9,6.0,6.0,5.4,7.7,6.4,6.1,6.4,6.3,13,35,16,40,36,16,10,3,1,1,4,37
7.4,8.4,0.0,0.0,0.0,7.9,7.7,8.9,7.3,7.1,8.0,7.4,7.5,7.1,7.5,7.1,7.9,7.4,12,14,1,16,29,36,14,8,5,1,7,37
6.6,7.1,0.0,0.0,0.0,7.8,8.0,7.7,6.4,5.9,7.3,6.3,5.9,7.0,7.6,6.4,7.1,6.8,11,28,15,19,35,39,11,5,4,3,8,37
6.4,6.9,0.0,0.0,0.0,6.9,6.9,7.1,6.3,5.9,7.7,5.5,5.8,4.7,6.9,6.3,6.5,6.4,10,14,3,7,19,36,15,11,2,4,9,37
6.1,7.7,0.0,0.0,0.0,7.0,7.2,7.3,6.0,5.7,7.4,6.7,5.9,9.0,7.2,6.7,6.1,6.3,9,87,53,48,23,7,4,2,1,1,10,37
5.9,6.4,0.0,0.0,0.0,6.6,6.9,6.7,6.0,6.0,6.2,5.6,5.2,7.0,6.5,5.9,6.2,5.9,8,31,12,27,41,23,9,2,1,1,6,37
7.3,7.4,0.0,0.0,0.0,8.1,7.9,9.3,7.0,7.1,6.2,6.6,6.9,5.2,6.8,7.2,7.3,7.3,7,16,6,19,27,26,12,2,0,0,6,37
6.1,8.0,0.0,0.0,0.0,7.3,7.0,8.2,6.4,6.2,7.3,5.5,4.1,8.3,6.6,6.5,6.5,6.4,6,37,15,32,37,14,4,2,1,0,7,37
7.6,8.0,0.0,0.0,0.0,8.6,8.3,9.0,7.4,7.3,7.5,7.1,7.1,7.0,7.5,7.4,8.1,7.7,5,33,15,28,40,21,3,4,1,3,7,37
6.8,7.6,0.0,0.0,0.0,7.8,7.2,8.7,6.6,6.5,7.2,6.1,6.5,4.7,6.9,7.0,6.8,7.1,4,30,9,25,35,25,11,2,1,1,3,37
7.2,8.3,0.0,0.0,0.0,8.5,8.3,8.8,7.2,7.0,8.0,6.7,6.6,6.8,7.3,7.2,7.7,7.6,3,13,3,11,25,50,14,7,4,4,9,37
7.5,8.3,0.0,0.0,0.0,8.2,7.9,9.0,7.5,7.3,8.0,7.5,7.6,6.6,7.4,7.5,7.6,7.7,2,28,9,28,42,19,10,4,0,0,3,37
7.7,7.4,0.0,0.0,0.0,8.1,7.8,8.9,7.9,8.1,7.0,6.6,6.8,5.8,7.4,7.6,7.7,7.7,1,41,21,34,35,14,10,2,3,3,7,37
6.1,7.5,0.0,0.0,0.0,7.4,7.0,8.2,6.3,6.2,6.7,5.9,5.3,8.5,6.5,6.3,6.6,6.5,0,26,16,44,39,14,9,2,2,1,9,37
6.6,6.8,0.0,0.0,0.0,7.0,7.0,6.9,6.6,6.5,6.8,6.3,6.4,6.0,6.8,6.4,6.8,6.7,21,90,50,43,18,4,6,4,2,1,12,36
5.6,6.8,0.0,0.0,0.0,6.9,6.6,7.7,5.3,5.1,5.7,5.9,5.5,6.8,6.2,6.2,5.5,5.9,20,6,8,11,13,24,12,7,3,2,8,36
7.5,7.9,0.0,0.0,0.0,8.0,7.9,7.9,7.8,7.5,8.9,6.5,6.9,4.8,7.3,7.3,8.0,7.8,19,20,8,18,35,14,9,1,1,1,9,36
7.1,7.8,0.0,0.0,0.0,8.1,8.0,8.8,6.7,6.6,7.3,6.1,6.2,6.0,7.2,7.0,7.4,7.0,18,10,5,13,22,20,8,4,4,3,4,36
8.1,8.0,0.0,0.0,0.0,8.7,8.5,9.5,7.7,7.8,6.7,7.8,8.2,7.0,8.2,7.5,8.6,8.0,17,9,6,8,23,23,13,7,2,2,5,36
6.5,6.7,0.0,0.0,0.0,7.6,7.9,7.3,6.0,5.9,7.0,5.9,6.3,5.0,6.7,6.7,6.1,6.7,16,16,16,28,31,17,8,2,1,1,7,36
7.7,7.8,0.0,0.0,0.0,8.4,8.3,8.9,7.2,7.3,6.3,7.3,7.5,6.5,7.7,7.4,7.9,7.7,15,15,5,12,34,22,15,4,3,3,10,36
7.5,7.4,0.0,0.0,0.0,8.2,8.3,7.9,7.0,7.0,7.0,7.3,7.5,6.8,7.5,7.4,7.3,7.4,14,14,5,10,27,28,10,4,3,3,10,36
7.7,8.4,0.0,0.0,0.0,8.6,8.5,9.0,7.7,7.6,7.9,7.0,7.2,6.0,7.9,7.3,8.2,7.9,13,20,13,21,32,16,3,1,0,1,6,36
7.1,8.3,0.0,0.0,0.0,8.4,8.3,8.9,6.9,6.5,9.0,7.3,8.0,6.2,7.4,6.8,8.1,7.6,12,24,19,27,40,8,6,2,1,0,9,36
6.5,7.1,0.0,0.0,0.0,6.9,6.5,8.6,6.4,5.9,7.3,6.5,7.4,4.9,6.7,6.4,6.9,7.1,11,9,5,18,31,24,6,5,2,2,7,36
7.2,8.1,0.0,0.0,0.0,7.9,8.0,8.6,7.4,6.9,8.4,6.7,7.1,5.7,6.6,7.2,7.7,7.2,10,24,14,28,31,22,2,2,2,2,7,36
6.5,7.5,0.0,0.0,0.0,7.9,7.6,8.5,6.7,6.5,7.6,4.9,5.4,4.0,6.6,6.6,6.9,7.1,9,13,2,9,15,38,16,5,0,3,5,36
7.2,7.8,0.0,0.0,0.0,8.4,8.3,8.9,6.9,6.8,7.2,6.8,7.1,5.7,6.9,6.6,8.1,7.4,8,13,9,14,28,30,7,3,1,0,11,36
7.8,7.6,0.0,0.0,0.0,8.0,7.9,8.1,7.8,7.7,8.0,7.2,7.9,5.7,7.6,7.8,7.5,7.9,7,10,6,10,22,31,18,4,6,1,9,36
7.4,7.3,0.0,0.0,0.0,8.1,8.0,8.7,7.0,7.2,6.9,6.6,6.8,6.0,7.1,6.8,7.6,7.4,6,26,9,20,30,19,4,4,2,2,5,36
7.6,7.1,0.0,0.0,0.0,8.5,8.8,7.8,7.2,7.0,7.7,7.1,7.8,4.5,7.2,7.4,7.8,7.3,5,22,5,12,27,32,9,8,2,0,7,36
8.2,8.4,0.0,0.0,0.0,9.0,9.0,9.2,8.1,8.1,7.8,6.9,7.0,6.5,7.1,8.2,8.1,8.2,4,17,7,14,35,22,6,2,2,2,6,36
7.0,6.8,0.0,0.0,0.0,7.6,7.7,7.0,6.6,6.3,7.3,7.2,7.5,5.7,7.3,6.7,7.1,7.1,3,33,5,23,37,25,6,3,2,2,7,36
7.5,7.6,0.0,0.0,0.0,7.9,8.0,8.3,7.6,7.5,9.0,7.0,7.3,6.8,7.0,7.4,7.7,7.4,2,13,4,13,22,21,14,6,0,4,6,36
6.1,7.7,0.0,0.0,0.0,7.1,7.1,7.7,6.3,6.0,7.3,6.2,5.4,7.8,6.8,6.4,6.8,6.5,1,23,5,15,48,17,8,2,3,2,6,36
7.5,7.9,0.0,0.0,0.0,8.0,7.9,8.3,7.6,7.5,7.8,7.3,7.6,6.0,7.7,7.4,7.8,7.5,0,33,16,34,34,13,4,2,3,2,9,36
7.2,7.5,0.0,0.0,0.0,8.1,8.3,8.2,7.1,6.9,7.4,6.3,6.4,5.7,6.8,6.9,7.5,7.4,21,13,8,14,32,8,5,2,2,4,9,35
7.4,8.3,0.0,0.0,0.0,8.4,8.2,8.6,7.5,7.1,8.4,6.8,7.0,6.2,7.2,7.5,8.1,7.8,20,179,71,43,15,4,6,4,5,2,14,35
6.4,7.0,0.0,0.0,0.0,6.8,6.6,8.0,6.7,6.5,7.3,5.7,6.1,4.5,7.0,6.5,6.7,6.8,19,13,4,6,6,26,14,8,5,3,10,35
7.2,7.1,0.0,0.0,0.0,7.3,6.7,8.1,7.3,7.1,9.0,7.5,8.6,4.8,6.8,7.2,7.4,7.4,18,8,3,7,17,29,13,5,4,0,5,35
5.6,5.6,0.0,0.0,0.0,5.0,6.0,5.0,5.8,5.7,7.3,5.3,5.1,6.0,6.3,5.3,6.0,5.7,17,47,12,28,28,17,3,6,0,0,14,35
7.3,7.0,0.0,0.0,0.0,7.7,7.5,7.6,7.5,7.4,7.6,7.1,7.5,6.0,7.0,6.8,7.7,7.5,16,14,2,12,27,16,12,6,1,1,5,35
6.2,7.4,0.0,0.0,0.0,7.1,7.2,7.5,6.3,6.1,8.8,5.4,5.3,5.8,6.8,6.5,6.0,6.7,15,41,13,31,28,12,4,0,0,3,7,35
5.0,6.4,0.0,0.0,0.0,6.3,6.1,7.0,5.0,4.9,6.0,4.7,4.3,5.7,6.5,4.9,6.0,5.5,14,10,3,11,19,22,15,5,3,1,6,35
4.8,6.3,0.0,0.0,0.0,6.0,6.3,6.1,4.8,4.4,7.1,4.3,4.1,5.3,6.1,5.6,4.1,5.6,13,8,2,6,13,31,12,2,3,4,5,35
5.7,7.4,0.0,0.0,0.0,6.2,6.3,7.2,6.0,5.3,7.4,5.9,5.5,7.0,7.1,5.9,6.3,6.5,12,21,16,25,26,18,5,0,0,1,7,35
6.3,7.0,0.0,0.0,0.0,6.6,6.1,7.2,6.6,6.4,7.1,6.2,6.4,5.7,7.1,6.4,6.4,6.7,11,6,5,12,26,27,3,2,3,1,5,35
5.5,7.2,0.0,0.0,0.0,6.2,4.8,7.8,6.5,6.4,6.8,5.2,5.0,6.3,6.5,6.0,5.6,6.4,10,8,4,9,11,22,11,6,2,2,4,35
6.1,7.1,0.0,0.0,0.0,5.7,5.8,6.4,6.5,6.5,7.0,5.9,5.1,9.0,6.6,5.9,6.4,6.5,9,23,12,16,35,13,12,3,1,0,8,35
5.2,6.8,0.0,0.0,0.0,5.7,5.8,5.7,5.5,4.5,6.5,5.7,4.7,9.5,5.8,5.7,5.2,5.9,8,29,10,8,12,23,20,11,5,2,5,35
5.7,7.1,0.0,0.0,0.0,6.4,6.2,7.0,6.0,5.7,6.2,6.3,5.2,8.2,6.3,6.4,5.9,6.3,7,19,8,18,22,25,12,8,0,1,6,35
7.6,8.8,0.0,0.0,0.0,8.7,7.7,9.3,7.8,7.7,8.2,7.7,7.8,6.8,7.4,8.3,7.9,8.0,6,29,15,27,27,17,7,2,1,0,5,35
7.3,7.9,0.0,0.0,0.0,8.0,7.6,8.4,6.7,6.4,7.0,8.4,8.2,8.5,7.3,7.8,6.7,7.6,5,8,0,3,7,12,25,14,5,6,21,35
6.1,7.2,0.0,0.0,0.0,6.7,5.7,8.0,6.8,6.8,6.7,5.9,5.9,6.8,6.8,6.6,5.7,6.6,4,40,13,24,35,24,11,2,2,3,8,35
6.7,6.7,0.0,0.0,0.0,7.9,7.9,8.2,6.0,6.2,6.0,6.3,6.4,6.0,6.4,6.3,6.9,6.9,3,26,4,25,30,10,12,2,2,0,4,35
6.4,7.3,0.0,0.0,0.0,7.3,7.4,7.8,6.5,6.2,6.6,6.4,6.1,7.2,5.9,7.2,5.8,6.8,2,7,4,6,19,31,13,9,2,1,6,35
5.9,6.1,0.0,0.0,0.0,6.7,7.1,5.8,6.0,5.5,6.6,5.9,5.7,6.0,6.9,5.8,6.3,6.2,1,38,15,25,43,23,14,3,3,1,5,35
3.7,5.1,0.0,0.0,0.0,4.6,3.8,5.9,4.0,4.0,4.0,3.8,3.4,5.9,5.1,4.6,3.2,5.2,0,20,3,9,31,25,22,7,4,3,12,35
5.6,6.5,0.0,0.0,0.0,6.3,6.4,6.7,6.2,5.9,6.4,5.3,4.8,7.5,5.8,5.6,6.6,6.1,21,28,23,30,23,9,5,0,1,0,6,34
6.0,6.2,0.0,0.0,0.0,7.1,7.8,6.2,5.8,5.5,6.5,5.7,5.8,5.3,5.8,6.2,6.6,6.2,20,60,37,40,13,5,1,1,2,2,12,34
4.4,5.7,0.0,0.0,0.0,5.2,5.2,5.3,4.6,3.9,5.5,4.8,4.2,7.5,5.7,4.8,4.7,5.1,19,34,7,8,19,15,11,3,2,1,7,34
5.6,7.3,0.0,0.0,0.0,7.2,4.5,8.0,5.2,4.9,5.8,6.8,6.6,7.3,6.4,5.9,6.6,6.5,18,9,2,13,10,20,8,5,1,2,7,34
4.1,5.7,0.0,0.0,0.0,4.3,4.3,4.8,5.4,5.0,6.2,4.0,3.4,7.0,5.1,4.4,5.0,4.7,17,9,3,13,12,17,7,3,2,4,5,34
5.6,6.0,0.0,0.0,0.0,7.2,7.1,7.6,6.0,5.9,6.1,3.8,3.8,3.8,6.5,4.9,6.8,6.2,16,16,12,20,18,8,6,0,1,0,6,34
4.5,6.6,0.0,0.0,0.0,6.4,6.5,6.7,4.8,4.5,5.8,5.1,4.5,8.5,5.8,4.9,5.1,5.6,15,20,2,16,19,14,12,1,1,2,8,34
6.8,7.6,0.0,0.0,0.0,8.0,7.6,10.0,7.2,7.3,6.6,6.8,6.6,7.7,7.1,6.7,7.3,7.4,14,12,2,7,25,15,5,3,2,2,7,34
5.6,6.4,0.0,0.0,0.0,6.9,7.0,7.0,5.5,5.4,5.8,5.1,4.9,4.2,6.3,5.4,5.9,5.8,13,9,4,12,18,17,3,1,7,2,6,34
6.0,6.7,0.0,0.0,0.0,7.2,7.1,8.5,5.4,5.0,6.3,6.1,6.4,4.5,6.1,6.2,4.7,6.4,12,7,1,6,15,20,11,5,0,3,6,34
4.5,6.2,0.0,0.0,0.0,6.2,5.9,6.5,4.8,4.3,5.5,4.6,3.8,6.8,5.3,5.0,4.4,5.5,11,26,6,22,22,12,9,1,0,0,10,34
3.5,5.7,0.0,0.0,0.0,5.0,6.2,6.5,3.5,3.1,5.0,3.8,3.1,8.0,4.1,4.4,2.7,4.5,10,13,5,14,14,25,7,1,1,2,6,34
5.0,5.7,0.0,0.0,0.0,5.4,6.2,5.1,5.0,4.7,5.0,5.3,4.8,8.0,6.0,5.2,3.7,5.7,9,22,13,14,22,6,4,3,1,1,7,34
4.2,5.7,0.0,0.0,0.0,4.1,4.0,7.0,4.9,5.0,4.8,4.3,3.7,7.5,5.0,4.2,4.4,4.8,8,10,1,4,15,12,3,2,0,4,4,34
6.6,7.8,0.0,0.0,0.0,7.6,7.1,10.0,5.9,5.4,6.8,7.3,7.1,8.0,7.2,6.6,6.5,7.4,7,31,18,31,19,11,0,1,3,3,6,34
2.7,3.8,0.0,0.0,0.0,3.5,3.3,4.2,2.3,2.0,3.1,3.5,3.2,4.2,4.3,2.7,2.8,3.3,6,18,9,15,22,16,5,2,2,2,5,34
5.5,6.0,0.0,0.0,0.0,5.6,6.0,5.4,5.5,5.5,5.3,5.6,4.9,8.0,6.1,5.1,5.9,5.6,5,23,11,30,15,9,2,6,0,1,4,34
5.9,7.7,0.0,0.0,0.0,7.8,7.4,10.0,5.9,5.6,6.8,5.7,5.2,8.0,6.4,5.7,6.4,6.8,4,30,9,22,28,12,5,0,0,0,8,34
5.2,6.7,0.0,0.0,0.0,7.1,7.5,8.7,5.0,4.8,6.5,5.6,5.3,7.0,6.3,5.7,4.6,6.1,3,36,14,29,27,10,8,1,2,2,7,34
4.7,6.5,0.0,0.0,0.0,5.3,4.2,7.2,4.9,4.4,5.7,5.8,5.3,7.0,6.1,4.9,4.7,5.9,2,13,0,8,27,12,5,6,4,2,3,34
5.5,8.0,0.0,0.0,0.0,6.2,5.2,10.0,5.3,5.1,6.3,6.4,6.0,8.5,6.9,6.0,4.9,5.9,1,24,7,19,25,18,11,4,3,1,9,34
5.8,7.6,0.0,0.0,0.0,6.6,6.2,10.0,5.9,5.8,6.3,6.6,5.7,8.7,6.5,6.0,6.4,6.3,0,25,4,9,10,21,19,9,7,5,9,34
5.0,6.1,0.0,0.0,0.0,5.3,4.0,6.0,5.2,5.2,5.1,6.1,5.4,7.2,5.8,5.3,4.6,5.9,11,30,8,25,10,8,2,0,2,1,5,33
5.4,8.1,0.0,0.0,0.0,6.8,5.5,10.0,5.7,5.2,7.1,6.2,5.4,7.9,6.0,6.1,5.6,6.5,10,30,7,18,9,6,3,3,1,2,4,33
4.5,6.9,0.0,0.0,0.0,6.2,5.9,10.0,5.0,4.6,5.6,4.9,4.1,9.0,6.2,4.6,5.3,5.3,9,13,2,15,25,8,4,1,2,0,5,33
7.1,7.0,0.0,0.0,0.0,7.7,7.5,9.0,7.0,7.2,6.4,6.2,6.5,4.3,6.9,6.6,7.5,6.9,8,36,16,19,12,7,3,0,4,0,6,33
4.5,6.4,0.0,0.0,0.0,6.3,6.0,6.7,4.4,4.3,6.2,4.7,3.9,7.5,6.4,4.9,4.8,5.7,7,19,0,10,22,9,5,3,3,0,9,33
4.2,6.4,0.0,0.0,0.0,6.6,6.3,10.0,4.1,4.2,4.0,4.0,2.4,8.0,5.0,4.3,4.6,5.1,6,26,7,24,15,6,4,3,1,1,4,33
6.8,6.5,0.0,0.0,0.0,7.8,8.7,6.6,6.8,7.0,5.7,5.8,4.9,8.5,7.0,6.7,6.9,6.7,5,38,10,23,14,8,5,2,9,1,7,33
5.1,6.0,0.0,0.0,0.0,6.8,5.7,9.0,5.2,5.6,3.0,4.9,3.0,8.0,5.8,5.4,4.9,5.9,4,37,8,26,17,9,3,1,1,0,6,33
4.4,5.7,0.0,0.0,0.0,6.1,3.9,10.0,4.7,4.1,5.8,2.4,3.6,1.0,5.9,4.9,3.4,5.6,3,19,4,19,9,4,3,1,0,1,5,33
5.6,7.3,0.0,0.0,0.0,8.5,7.5,10.0,5.4,5.3,6.0,5.3,5.0,6.0,5.8,6.3,4.7,5.6,2,23,5,9,14,5,6,3,0,3,6,33
5.1,7.5,0.0,0.0,0.0,6.9,8.0,7.6,5.6,5.5,7.0,4.6,3.3,8.0,5.4,5.7,4.5,6.2,1,20,5,12,21,8,3,1,0,2,6,33
5.5,7.2,0.0,0.0,0.0,7.3,7.0,9.0,5.2,5.3,4.5,5.5,4.3,8.5,6.5,5.9,4.7,6.2,0,29,3,13,24,6,13,1,1,1,8,33
4.6,7.6,0.0,0.0,0.0,7.3,4.0,10.0,5.2,4.9,6.0,5.1,4.1,8.3,6.2,5.1,5.0,5.8,19,27,2,17,12,7,2,4,1,2,6,32
3.8,6.7,0.0,0.0,0.0,5.4,5.0,10.0,4.3,4.3,6.0,4.1,2.9,7.0,5.3,4.6,3.6,5.3,18,16,5,15,6,6,1,0,0,0,3,32
6.3,7.4,0.0,0.0,0.0,7.3,7.2,8.2,5.8,5.2,8.0,7.0,7.5,6.1,7.3,6.5,6.6,7.1,17,25,4,17,15,11,3,1,0,2,6,32
6.0,7.2,0.0,0.0,0.0,7.4,8.2,7.2,6.1,6.0,7.0,4.9,3.6,7.7,6.4,6.0,6.0,6.4,16,58,5,23,14,7,5,1,1,2,15,32
3.0,4.5,0.0,0.0,0.0,3.5,3.3,3.9,3.1,3.0,4.0,3.6,2.5,5.3,4.6,3.5,2.6,3.7,15,50,31,24,10,9,4,0,1,2,6,32
5.3,7.7,0.0,0.0,0.0,6.9,6.4,7.7,5.5,5.0,6.7,5.8,4.9,8.5,6.6,5.9,5.6,5.8,14,12,3,10,22,3,3,1,0,1,5,32
4.4,6.5,0.0,0.0,0.0,4.0,4.0,5.5,4.8,4.5,7.0,4.7,3.3,7.0,6.1,4.8,3.6,4.6,13,21,6,16,11,5,8,1,1,1,5,32
4.1,6.3,0.0,0.0,0.0,4.2,4.5,5.5,4.1,4.0,5.0,4.8,3.7,7.5,6.3,4.5,3.7,4.6,12,7,0,5,13,9,7,1,2,1,2,32
4.6,5.6,0.0,0.0,0.0,7.4,8.0,9.0,4.2,4.7,3.4,4.8,3.3,8.3,5.2,5.4,3.4,5.2,11,20,4,18,17,8,2,1,0,0,6,32
6.5,8.4,0.0,0.0,0.0,8.9,8.2,9.7,6.6,6.3,7.1,6.4,5.8,8.5,7.4,7.2,6.1,7.5,10,23,3,16,11,6,1,4,1,1,6,32
4.7,6.6,0.0,0.0,0.0,5.5,6.7,7.7,5.0,4.7,5.5,5.6,3.7,8.5,5.5,5.2,4.9,5.3,9,38,6,19,14,7,6,2,1,0,6,32
4.8,6.7,0.0,0.0,0.0,7.9,6.5,9.3,4.2,4.3,1.0,5.2,4.3,8.0,6.0,5.9,3.1,5.4,8,101,37,33,11,8,2,1,0,2,13,32
4.6,7.5,0.0,0.0,0.0,5.5,4.0,7.2,4.6,4.6,7.0,5.7,4.5,7.3,6.5,5.5,3.9,5.6,7,14,3,4,14,8,2,4,0,1,6,32
3.4,4.9,0.0,0.0,0.0,4.6,5.7,5.2,3.1,3.5,1.0,3.5,2.5,10.0,4.8,3.7,2.8,3.9,6,20,6,8,11,9,5,4,0,1,3,32
4.3,10.0,0.0,0.0,0.0,6.2,5.8,10.0,4.1,4.1,4.2,3.1,10.0,6.2,5.0,3.4,4.9,0.0,5,4,1,1,10,16,3,2,2,3,4,32
4.1,7.0,0.0,0.0,0.0,3.9,1.7,5.5,4.3,4.3,4.9,3.8,10.0,6.1,4.4,3.0,4.5,0.0,4,24,3,26,12,9,2,1,1,1,6,32
5.5,7.1,0.0,0.0,0.0,6.8,8.0,7.5,5.5,5.3,8.0,6.2,5.6,7.5,6.3,5.8,5.5,5.9,3,29,13,18,16,5,3,7,0,1,7,32
3.2,5.2,0.0,0.0,0.0,4.8,2.0,5.5,3.1,3.1,2.5,4.0,3.2,10.0,5.1,3.5,2.1,4.0,2,18,5,7,15,16,5,2,3,1,7,32
6.1,7.8,0.0,0.0,0.0,7.2,6.3,10.0,5.7,5.9,6.0,6.6,6.3,10.0,6.7,6.4,5.3,6.7,1,9,0,3,5,17,4,2,4,1,10,32
5.4,6.8,0.0,0.0,0.0,7.1,8.0,8.0,5.0,5.1,4.0,6.2,5.4,10.0,6.3,6.0,4.8,6.1,0,20,6,3,12,12,11,4,4,2,24,32
5.5,6.4,0.0,0.0,0.0,6.2,7.7,7.0,5.1,5.1,5.0,6.7,6.1,10.0,6.3,5.5,4.9,5.9,18,16,2,8,13,8,1,2,2,1,10,31
