m_avg,f_avg,u18_avg,m_u18_avg,f_u18_avg,18-29_avg,m_18-29_avg,f_18-29_avg,30-44_avg,m_30-44_avg,f_30-44_avg,45+_avg,m_45+_avg,f_45+_avg,top_1000_vot,us_users_avg,non_users_avg,imdb_users_avg,epno,crv-1,crv-2,crv-3,crv-4,crv-5,crv-6,crv-7,crv-8,crv-9,crv-10,sid
4.6,7.5,0.0,0.0,0.0,5.3,5.0,7.8,4.9,4.8,6.0,4.9,4.1,10.0,5.8,5.0,4.2,5.4,17,13,7,8,12,10,5,0,0,1,9,31
5.1,8.2,0.0,0.0,0.0,6.6,8.5,9.5,4.8,4.9,4.0,5.9,5.1,10.0,5.7,5.8,3.8,6.1,16,12,2,8,13,14,5,4,1,2,6,31
5.8,6.1,0.0,0.0,0.0,7.5,6.7,10.0,5.6,5.8,6.3,5.7,5.3,10.0,5.9,6.5,4.3,6.1,15,16,4,4,10,10,4,4,1,0,10,31
5.2,6.8,0.0,0.0,0.0,4.8,6.0,5.7,5.2,5.2,6.0,5.4,4.8,8.0,6.2,5.4,4.6,5.6,14,5,5,3,6,10,7,1,1,3,6,31
5.5,7.8,0.0,0.0,0.0,7.8,7.0,10.0,5.4,5.4,5.0,6.0,5.3,8.0,6.2,6.5,4.7,5.5,13,7,1,2,11,12,10,1,0,0,4,31
4.3,6.3,0.0,0.0,0.0,5.2,6.0,5.5,4.2,4.2,5.0,4.9,3.8,10.0,6.0,4.5,3.5,4.3,12,45,10,18,20,5,4,0,1,1,6,31
4.6,5.6,0.0,0.0,0.0,4.5,5.0,5.3,4.5,4.7,4.0,4.4,4.0,10.0,5.2,4.8,3.4,4.7,11,20,2,15,14,1,6,2,1,1,2,31
4.6,5.7,0.0,0.0,0.0,6.9,8.0,4.5,4.6,4.8,3.5,4.5,4.1,6.2,6.4,4.6,4.4,5.3,10,12,3,4,8,8,7,3,1,2,4,31
5.9,6.0,0.0,0.0,0.0,7.8,7.2,10.0,5.8,6.3,4.2,5.1,3.9,8.2,6.6,5.7,5.8,6.6,9,18,6,5,12,10,9,2,3,1,5,31
6.2,7.5,0.0,0.0,0.0,7.9,8.5,9.0,6.1,6.0,6.3,6.2,5.8,8.0,6.2,6.5,5.6,6.3,8,15,10,8,18,8,3,4,2,2,8,31
6.3,7.6,0.0,0.0,0.0,7.4,7.3,7.0,6.3,6.3,6.5,6.7,6.3,7.7,5.9,6.8,5.8,6.5,7,8,2,5,19,10,2,1,3,2,7,31
5.6,7.9,0.0,0.0,0.0,8.3,7.8,10.0,6.1,6.3,6.3,4.7,4.0,8.5,5.9,5.8,5.5,5.9,6,21,1,2,7,9,12,1,1,4,27,31
5.6,6.5,0.0,0.0,0.0,6.7,8.5,6.9,5.3,5.4,5.7,5.9,5.7,6.3,6.1,5.5,5.9,5.8,5,9,1,3,6,13,5,2,3,2,4,31
5.1,8.3,0.0,0.0,0.0,7.9,7.2,8.0,5.1,5.0,6.0,4.8,4.2,7.0,5.5,5.6,4.0,5.4,4,6,1,6,10,11,5,3,3,0,4,31
5.1,6.9,0.0,0.0,0.0,6.0,7.0,5.5,5.3,5.2,6.5,5.4,4.4,10.0,5.8,5.6,4.0,5.4,3,4,0,1,5,6,9,3,2,3,5,31
7.1,9.0,0.0,0.0,0.0,8.3,8.1,10.0,6.6,6.3,7.1,7.7,6.9,10.0,7.1,7.5,6.9,7.4,2,7,5,2,11,13,1,4,2,0,4,31
5.6,7.8,0.0,0.0,0.0,8.8,9.0,10.0,6.3,6.2,7.7,5.6,5.0,10.0,5.9,6.3,4.8,6.1,1,6,0,3,5,5,8,3,4,3,12,31
4.2,7.2,0.0,0.0,0.0,5.2,6.0,5.5,3.7,3.6,8.0,5.3,4.2,10.0,6.1,5.0,3.0,5.0,0,16,3,6,13,20,5,2,2,6,9,31
5.8,5.3,0.0,0.0,0.0,7.4,8.1,6.9,5.3,5.9,2.1,5.2,5.1,7.0,6.3,6.2,3.6,6.2,19,12,0,5,4,11,8,4,3,0,12,30
6.0,6.4,0.0,0.0,0.0,5.9,8.8,5.5,5.8,5.7,6.5,6.3,5.8,10.0,5.8,6.1,5.5,6.0,18,18,4,5,16,4,7,0,1,0,4,30
5.5,8.0,0.0,0.0,0.0,7.7,7.8,6.7,5.6,5.5,7.0,4.9,4.2,10.0,5.7,6.2,4.2,5.9,17,10,1,4,7,13,10,0,3,0,10,30
5.2,7.5,0.0,0.0,0.0,8.2,8.5,10.0,4.9,4.8,8.0,5.7,4.9,10.0,6.8,6.3,3.2,5.9,16,9,1,4,13,6,6,3,1,0,5,30
6.0,7.9,0.0,0.0,0.0,8.7,8.0,10.0,5.7,5.5,6.0,6.5,5.9,8.3,6.0,6.4,6.2,6.9,15,8,1,3,7,14,7,4,4,2,9,30
6.0,8.0,0.0,0.0,0.0,7.6,7.3,10.0,5.5,5.7,5.0,6.3,5.8,8.7,6.1,6.9,4.3,6.5,14,6,1,3,5,7,2,3,1,7,15,30
4.6,7.9,0.0,0.0,0.0,6.6,5.8,10.0,4.0,4.1,6.3,5.6,4.9,10.0,4.9,6.0,3.4,5.3,13,8,1,4,7,6,5,4,1,4,6,30
5.6,6.5,0.0,0.0,0.0,7.9,6.0,10.0,5.4,5.4,5.6,5.7,5.4,6.3,5.8,6.0,5.0,6.0,12,3,2,0,5,6,8,2,7,3,6,30
5.8,8.0,0.0,0.0,0.0,7.6,7.7,10.0,5.3,5.3,6.0,6.4,6.0,10.0,6.3,6.4,4.5,5.9,11,15,3,4,11,6,2,2,1,0,3,30
5.1,6.8,0.0,0.0,0.0,6.8,6.0,6.2,5.2,5.2,5.5,4.8,4.0,10.0,5.8,5.8,4.3,5.5,10,7,0,0,7,4,7,5,4,5,39,30
6.9,10.0,0.0,0.0,0.0,8.7,9.0,10.0,6.4,6.2,9.0,7.3,6.9,10.0,7.1,7.2,6.1,7.3,9,4,0,2,6,8,5,3,1,0,5,30
5.5,8.2,0.0,0.0,0.0,7.9,7.8,10.0,5.5,5.5,5.7,5.9,4.8,9.7,6.3,6.6,3.2,6.7,8,15,0,4,7,14,7,1,1,1,3,30
7.2,7.2,0.0,0.0,0.0,7.9,8.1,7.3,6.2,6.2,6.2,7.8,7.5,10.0,6.7,7.3,6.4,7.4,7,12,0,6,5,11,7,4,1,2,7,30
5.2,7.4,0.0,0.0,0.0,8.3,8.7,10.0,4.8,4.9,5.7,4.8,3.8,10.0,5.5,6.0,3.2,5.7,6,10,3,2,4,11,9,3,0,0,9,30
6.0,8.9,0.0,0.0,0.0,8.4,8.0,9.7,5.6,5.4,8.3,6.0,5.4,9.0,6.2,6.8,4.4,6.9,5,4,0,3,8,11,7,2,3,0,3,30
4.6,6.0,0.0,0.0,0.0,6.2,7.0,6.0,4.5,4.6,4.8,4.6,3.5,8.5,5.6,5.3,3.8,5.2,4,5,2,2,12,8,5,2,2,0,3,30
5.6,6.5,0.0,0.0,0.0,7.0,7.4,5.5,5.5,5.5,6.8,5.5,4.8,7.0,5.9,5.7,4.9,6.0,3,11,1,5,6,14,9,1,3,3,7,30
5.6,7.5,0.0,0.0,0.0,8.3,9.0,7.0,5.7,5.6,6.3,4.8,4.2,10.0,5.7,6.1,4.2,6.1,2,15,0,8,8,15,5,3,3,1,6,30
7.0,8.1,0.0,0.0,0.0,8.5,8.4,9.7,6.8,6.7,7.1,6.5,5.9,10.0,6.4,7.2,6.8,7.5,1,5,0,1,8,5,11,4,2,0,7,30
5.0,6.5,0.0,0.0,0.0,6.1,6.5,7.0,5.2,5.2,5.6,4.7,4.0,10.0,5.6,5.5,4.1,5.5,0,12,1,6,16,8,4,0,0,1,5,30
6.0,7.2,0.0,0.0,0.0,7.7,8.0,7.7,5.8,5.7,5.9,6.0,5.4,10.0,6.3,6.4,5.0,6.5,19,15,1,1,4,8,7,6,2,1,11,29
4.6,5.6,0.0,0.0,0.0,6.5,6.0,5.5,4.1,4.3,3.2,4.8,4.3,7.3,5.3,4.9,3.6,5.1,18,5,0,3,2,8,7,3,1,6,5,29
4.8,7.0,0.0,0.0,0.0,6.6,7.3,5.5,5.1,5.0,7.7,4.3,3.6,10.0,5.7,5.1,4.0,5.5,17,25,4,9,12,8,6,4,1,0,13,29
5.1,5.8,0.0,0.0,0.0,5.5,8.0,4.0,5.2,5.0,7.7,5.3,4.7,10.0,5.4,5.4,3.8,5.4,16,8,0,2,7,5,6,1,0,2,6,29
5.6,6.3,0.0,0.0,0.0,7.3,8.8,5.3,5.0,4.7,5.9,5.4,5.5,10.0,6.0,5.7,4.3,5.7,15,13,1,0,3,7,2,3,3,2,10,29
5.7,7.1,0.0,0.0,0.0,7.1,7.7,6.7,5.9,5.7,6.3,5.6,5.1,10.0,5.7,6.3,4.9,6.4,14,6,2,3,7,5,2,3,1,3,7,29
4.4,5.7,0.0,0.0,0.0,6.8,7.3,8.3,4.7,4.5,5.3,3.3,3.1,4.3,4.5,4.7,3.7,5.3,13,13,1,5,4,11,10,3,1,1,4,29
4.1,6.9,0.0,0.0,0.0,6.4,5.7,10.0,4.6,4.4,6.0,3.8,3.3,7.0,5.4,4.4,3.7,4.7,12,12,2,1,2,11,6,3,3,0,6,29
5.0,5.1,0.0,0.0,0.0,6.1,6.3,7.0,4.7,5.0,3.6,5.1,4.4,7.5,5.7,4.8,4.7,5.4,11,9,1,1,5,11,6,4,0,0,5,29
5.1,5.8,0.0,0.0,0.0,5.9,5.5,5.5,5.0,5.1,5.5,5.2,4.8,10.0,5.7,5.0,4.6,5.5,10,10,0,3,2,10,8,3,0,2,7,29
6.4,7.5,0.0,0.0,0.0,7.4,7.1,8.5,6.2,6.1,6.3,6.1,5.5,8.5,6.8,6.6,5.8,7.2,9,9,1,0,4,3,4,5,1,2,9,29
5.6,7.8,0.0,0.0,0.0,7.2,7.3,7.5,6.1,5.8,7.3,5.9,5.5,7.0,6.2,6.3,5.0,6.4,8,15,3,3,10,5,3,3,0,1,4,29
5.3,5.0,0.0,0.0,0.0,6.1,7.1,5.6,4.7,5.6,3.3,4.7,4.2,8.0,5.1,5.0,4.9,5.6,7,12,1,2,8,8,4,4,1,1,5,29
3.7,3.8,0.0,0.0,0.0,7.8,8.0,7.2,3.4,4.0,2.7,2.9,2.8,4.3,5.2,3.7,3.3,4.9,6,5,0,0,3,7,1,5,2,7,17,29
5.7,8.2,0.0,0.0,0.0,7.7,6.0,10.0,5.8,5.6,6.7,6.6,6.0,10.0,6.3,6.2,5.1,6.2,5,7,0,4,9,4,7,4,0,0,8,29
6.4,7.4,0.0,0.0,0.0,6.8,7.1,5.5,6.5,6.4,9.0,6.5,6.0,8.5,6.6,6.4,6.4,6.9,4,2,0,0,5,2,5,4,2,2,5,29
8.1,7.8,0.0,0.0,0.0,9.1,9.3,9.0,7.1,7.4,5.9,8.4,8.2,8.5,6.9,8.3,7.0,8.1,3,2,0,1,4,1,6,5,2,1,5,29
6.5,7.8,0.0,0.0,0.0,8.0,6.5,8.5,6.7,6.6,6.7,6.9,6.4,10.0,6.4,6.9,6.5,7.2,2,8,0,3,3,5,6,4,4,2,8,29
5.4,7.4,0.0,0.0,0.0,7.4,2.0,9.2,5.9,6.1,5.5,5.0,4.3,8.3,6.2,6.1,4.0,6.3,1,26,5,9,12,0,2,1,1,1,8,29
6.9,5.2,0.0,0.0,0.0,7.4,8.3,5.1,6.6,6.6,6.5,5.8,6.1,5.5,6.0,6.7,6.6,6.8,0,5,1,1,5,8,5,3,4,2,5,29
5.6,7.5,0.0,0.0,0.0,6.7,8.0,10.0,5.9,6.1,5.0,5.4,4.5,10.0,6.1,5.9,5.5,6.1,19,5,0,3,6,5,6,3,1,4,5,28
5.6,6.2,0.0,0.0,0.0,7.3,7.5,8.8,5.2,5.9,2.0,5.3,4.4,8.0,6.0,5.5,5.9,5.9,18,7,1,1,6,6,4,7,1,5,3,28
5.4,8.9,0.0,0.0,0.0,8.3,9.7,9.3,5.8,5.8,8.7,4.9,4.3,10.0,5.6,5.7,4.7,6.5,17,5,0,0,4,2,5,1,4,1,16,28
5.3,8.2,0.0,0.0,0.0,8.0,9.5,6.5,5.0,5.0,10.0,4.7,3.8,10.0,5.3,5.9,3.1,5.8,16,2,0,1,6,1,6,1,3,2,4,28
5.8,8.2,0.0,0.0,0.0,8.3,7.7,10.0,5.5,5.2,6.5,6.4,6.0,10.0,5.6,6.1,5.8,6.1,15,2,0,0,8,1,5,3,2,2,7,28
5.4,7.8,0.0,0.0,0.0,7.2,6.0,10.0,5.6,5.6,5.5,5.2,4.7,10.0,5.7,5.7,5.0,5.9,14,6,0,5,5,9,7,2,0,2,5,28
6.0,6.7,0.0,0.0,0.0,7.6,8.0,6.7,6.2,5.8,6.9,5.6,5.4,6.0,6.3,5.9,6.4,6.6,13,4,0,1,3,2,5,0,5,5,10,28
5.3,8.8,0.0,0.0,0.0,7.0,5.5,10.0,6.0,5.9,7.5,4.9,4.3,10.0,5.9,6.0,4.4,6.4,12,9,5,5,10,4,6,2,2,3,2,28
5.5,8.8,0.0,0.0,0.0,7.5,6.7,10.0,5.8,5.7,7.5,5.2,4.4,10.0,5.9,5.8,5.3,6.1,11,9,1,0,9,5,7,1,2,0,6,28
6.7,8.8,0.0,0.0,0.0,7.7,7.5,10.0,6.4,6.5,5.0,7.4,7.0,10.0,6.8,6.9,6.7,7.4,10,4,2,0,7,6,4,4,0,0,4,28
5.3,6.5,0.0,0.0,0.0,6.2,7.3,5.5,5.6,5.7,5.0,5.1,4.2,7.5,5.9,5.3,4.5,5.9,9,4,0,3,3,5,6,1,1,3,4,28
7.5,7.9,0.0,0.0,0.0,7.3,6.5,7.8,7.6,7.6,7.0,8.2,7.9,10.0,6.7,7.5,7.8,7.6,8,10,2,1,3,5,9,2,0,1,6,28
5.2,6.7,0.0,0.0,0.0,8.9,8.6,10.0,5.0,5.4,3.7,4.6,3.1,10.0,6.6,5.4,5.3,6.5,7,10,2,7,11,4,7,3,0,5,7,28
2.9,5.2,0.0,0.0,0.0,6.8,4.0,8.0,2.7,2.9,1.5,3.0,2.7,5.0,4.2,3.4,2.2,3.8,6,6,0,2,6,11,9,0,2,0,7,28
5.4,7.7,0.0,0.0,0.0,7.7,7.3,10.0,5.3,5.2,5.5,5.5,5.0,8.0,5.9,6.1,4.1,5.8,5,3,1,2,4,7,12,1,1,2,3,28
5.9,8.4,0.0,0.0,0.0,8.1,7.0,9.0,6.0,6.2,4.0,5.6,5.2,10.0,6.2,6.2,5.8,6.7,4,2,0,0,4,2,5,5,1,1,7,28
4.9,7.2,0.0,0.0,0.0,7.8,7.5,10.0,5.4,5.5,4.5,4.7,4.1,10.0,5.3,5.1,5.0,5.4,3,3,0,0,4,3,8,2,2,3,5,28
5.3,7.2,0.0,0.0,0.0,7.0,6.0,8.0,5.1,5.3,3.0,5.9,5.4,10.0,5.8,5.5,5.1,6.0,2,11,4,1,8,7,7,5,1,8,11,28
5.4,7.5,0.0,0.0,0.0,6.8,7.0,8.0,5.8,6.1,8.0,5.4,4.2,8.2,6.1,5.7,5.7,6.5,1,16,4,3,15,11,3,2,1,0,10,28
5.4,5.9,0.0,0.0,0.0,7.5,8.5,7.0,6.0,5.7,6.8,4.9,4.8,6.0,5.7,5.7,4.9,6.2,0,9,3,7,6,17,5,1,3,1,6,28
4.7,6.2,0.0,0.0,0.0,5.3,4.7,5.5,5.2,5.3,4.0,4.4,3.5,10.0,5.7,4.8,4.2,5.2,19,9,3,7,18,8,9,2,0,3,4,27
6.1,8.0,0.0,0.0,0.0,7.6,7.2,8.5,6.2,6.1,7.5,6.0,5.6,8.7,6.2,6.4,5.6,6.6,18,5,6,4,7,9,4,5,2,3,5,27
6.0,5.7,0.0,0.0,0.0,5.9,7.5,4.8,6.4,6.5,5.0,5.4,4.9,10.0,5.9,5.2,6.9,6.4,17,6,1,4,13,4,7,1,1,2,7,27
4.9,8.4,0.0,0.0,0.0,7.0,5.0,10.0,5.4,5.4,6.0,4.9,3.9,9.0,5.3,5.5,4.6,5.6,16,4,1,0,11,10,4,3,0,4,6,27
4.4,4.1,0.0,0.0,0.0,5.0,4.0,5.3,5.0,5.4,4.7,3.4,3.2,4.3,5.5,3.9,5.0,5.5,15,3,0,1,7,6,5,3,0,2,4,27
4.7,6.2,0.0,0.0,0.0,5.8,5.0,5.5,4.7,4.8,4.0,5.2,4.5,10.0,5.7,4.9,3.7,5.2,14,14,2,8,14,6,6,0,0,1,2,27
4.4,7.5,0.0,0.0,0.0,7.0,5.0,10.0,4.9,4.7,5.0,4.6,4.1,10.0,5.7,5.1,3.4,5.3,13,6,1,3,9,7,1,2,3,2,3,27
4.9,7.4,0.0,0.0,0.0,6.4,5.0,8.0,5.1,5.1,5.0,4.8,4.2,10.0,5.8,5.1,4.6,5.9,12,3,1,2,2,4,6,0,3,1,6,27
6.9,6.8,0.0,0.0,0.0,8.5,8.5,10.0,5.9,6.2,4.7,7.5,7.1,10.0,6.6,6.6,7.1,7.4,11,14,3,3,9,6,10,1,0,1,10,27
5.3,6.9,0.0,0.0,0.0,6.8,6.2,7.7,4.9,5.1,3.0,5.0,4.6,7.0,5.1,5.8,4.3,5.6,10,9,2,3,7,12,6,1,1,3,6,27
6.1,7.0,0.0,0.0,0.0,6.8,7.2,5.0,6.4,6.4,7.0,5.6,5.0,10.0,6.3,6.3,5.8,6.6,9,5,4,3,7,10,7,2,1,2,6,27
4.4,4.7,0.0,0.0,0.0,7.5,6.8,10.0,4.5,5.0,2.0,3.6,3.3,6.0,5.4,4.0,4.9,5.5,8,7,1,3,7,7,3,4,0,3,5,27
5.1,7.5,0.0,0.0,0.0,7.4,7.0,9.7,5.1,5.3,3.0,4.9,4.3,10.0,4.8,5.3,5.0,5.7,7,17,3,4,17,11,6,1,1,4,3,27
4.9,10.0,0.0,0.0,0.0,6.5,6.0,10.0,5.2,5.2,4.5,3.9,10.0,5.2,5.2,4.7,5.6,0.0,6,13,0,0,9,12,5,3,4,0,3,27
6.0,6.8,0.0,0.0,0.0,9.3,9.0,6.6,6.7,6.0,4.5,3.1,7.8,5.9,6.2,6.0,6.7,0.0,5,6,2,0,8,1,7,4,1,2,8,27
4.4,5.3,0.0,0.0,0.0,6.0,6.3,5.0,4.7,4.7,4.0,3.3,10.0,4.8,4.7,4.4,4.8,0.0,4,4,1,8,8,7,3,2,2,0,6,27
3.9,5.5,0.0,0.0,0.0,3.3,4.5,1.0,4.1,4.1,4.1,3.3,10.0,5.0,4.3,3.4,4.5,0.0,3,3,1,3,6,8,8,2,0,1,3,27
5.4,6.5,0.0,0.0,0.0,6.7,3.0,10.0,5.8,5.9,5.5,5.7,5.2,8.0,5.7,6.0,4.6,6.6,2,6,0,4,6,6,8,2,2,0,8,27
5.2,4.5,0.0,0.0,0.0,3.5,7.5,1.5,5.6,5.7,5.0,4.6,3.7,10.0,5.0,5.4,3.8,5.2,1,11,2,4,13,6,3,1,0,0,2,27
5.2,8.3,0.0,0.0,0.0,6.0,5.3,10.0,5.4,5.5,5.0,5.5,4.9,10.0,5.4,5.7,4.6,5.7,0,11,2,3,7,6,2,4,0,1,4,27
5.2,4.0,0.0,0.0,0.0,4.1,6.7,3.0,5.5,6.4,2.2,4.4,3.5,10.0,5.6,4.6,5.5,5.7,19,11,6,7,12,6,5,0,0,1,2,26
6.6,9.2,0.0,0.0,0.0,7.5,7.0,10.0,6.3,6.2,7.0,7.2,6.7,10.0,6.0,7.4,6.3,7.2,18,3,1,2,6,3,5,1,2,0,4,26
5.3,7.1,0.0,0.0,0.0,6.5,4.4,9.3,5.7,5.8,5.1,5.5,5.1,7.2,5.4,5.9,4.7,5.9,17,10,5,4,14,7,4,4,0,0,4,26
5.2,7.2,0.0,0.0,0.0,6.8,7.0,10.0,5.3,5.6,3.0,5.1,5.0,8.0,4.9,5.4,4.8,6.0,16,5,1,2,7,4,8,5,2,3,7,26
4.9,5.5,0.0,0.0,0.0,7.2,7.2,10.0,5.4,5.4,5.0,3.2,3.5,3.5,4.4,4.5,5.4,5.7,15,7,0,8,10,10,2,1,3,0,8,26
4.0,5.5,0.0,0.0,0.0,7.0,6.0,10.0,4.3,4.4,3.4,3.4,3.1,5.0,6.3,3.9,3.4,5.2,14,9,0,2,8,9,8,2,2,0,5,26
5.0,7.5,0.0,0.0,0.0,8.2,8.0,10.0,5.5,5.6,5.0,4.9,4.3,10.0,5.2,5.3,5.4,5.6,13,23,6,8,16,4,1,3,4,1,3,26
5.8,7.5,0.0,0.0,0.0,8.2,8.8,9.0,6.1,6.2,6.8,5.3,4.9,8.5,6.2,6.0,5.3,6.6,12,8,0,2,6,4,10,3,0,0,9,26
4.8,5.7,0.0,0.0,0.0,4.6,7.0,4.0,5.3,5.2,9.0,4.9,3.9,8.7,5.1,4.7,4.6,5.4,11,5,3,5,8,9,2,3,0,0,4,26
4.8,7.5,0.0,0.0,0.0,6.6,5.1,10.0,5.3,5.2,5.7,4.6,3.9,10.0,5.5,5.2,4.8,6.2,10,4,2,4,6,5,5,3,4,1,10,26
6.9,7.0,0.0,0.0,0.0,7.9,8.0,10.0,6.7,7.1,4.0,7.0,6.4,10.0,6.7,7.1,6.4,7.4,9,3,2,2,5,5,7,2,0,1,6,26
5.9,8.0,0.0,0.0,0.0,6.5,7.2,6.4,6.4,5.6,4.8,8.0,5.9,6.0,6.4,6.3,0.0,0.0,8,4,1,2,9,3,9,1,2,0,8,26
5.5,8.8,0.0,0.0,0.0,6.3,5.0,7.0,6.5,6.3,10.0,4.7,4.0,9.0,5.7,6.2,5.3,6.3,7,5,1,3,7,10,8,4,0,1,6,26
3.0,3.3,0.0,0.0,0.0,2.0,3.0,1.0,3.7,3.8,2.0,2.6,2.3,5.0,4.6,3.0,2.9,3.7,6,9,3,5,11,6,2,5,2,1,5,26
5.3,6.8,0.0,0.0,0.0,5.5,5.0,6.0,5.7,5.6,10.0,5.1,4.9,5.5,5.7,5.8,4.2,5.9,5,11,0,4,4,4,12,3,1,3,12,26
5.6,7.7,0.0,0.0,0.0,6.7,6.3,7.0,6.1,6.1,6.0,5.1,4.2,10.0,6.4,6.0,5.6,6.3,4,2,0,3,6,5,6,4,3,2,8,26
5.3,8.0,0.0,0.0,0.0,7.5,7.3,6.1,6.1,4.8,4.1,8.0,5.9,5.9,4.8,6.0,0.0,0.0,3,5,0,6,4,6,7,4,2,1,7,26
5.9,6.1,0.0,0.0,0.0,5.3,8.5,3.5,6.7,6.6,8.0,5.5,5.0,7.0,5.8,6.2,5.1,6.0,2,4,0,7,8,7,5,5,4,1,6,26
5.4,5.7,0.0,0.0,0.0,5.3,10.0,2.0,5.3,5.3,5.0,5.4,4.7,10.0,5.9,6.1,3.0,5.6,1,13,3,5,16,9,4,0,0,0,4,26
5.6,5.4,0.0,0.0,0.0,5.3,4.7,6.7,6.0,6.5,1.0,5.1,4.3,8.0,5.6,4.9,6.5,6.2,0,10,1,7,11,13,3,2,2,1,6,26
5.3,10.0,0.0,0.0,0.0,5.7,5.5,5.8,5.8,5.3,4.5,10.0,5.6,6.0,3.9,6.3,0.0,0.0,19,10,0,8,6,11,6,5,4,2,10,25
